signature_id,time_window,analysis_set,eligible_before_set_filter_k,included_k,patient_n,included_cohorts,excluded_eligible_cohorts_and_reason,stored_cohorts,composition_matches_stored
SIG001,T24,ALL_COHORTS,4,4,172,GSE236713;GSE54514;GSE57065;GSE95233,,GSE236713;GSE54514;GSE57065;GSE95233,PASS
SIG001,T24,PILOT_ONLY,4,2,59,GSE54514;GSE57065,GSE236713 [Cohort-role subset];GSE95233 [Cohort-role subset],GSE54514;GSE57065,PASS
SIG001,T24,PRESPECIFIED_NON_PILOT_ONLY,4,2,113,GSE236713;GSE95233,GSE54514 [Cohort-role subset];GSE57065 [Cohort-role subset],GSE236713;GSE95233,PASS
SIG001,T24,PRIMARY_INDEPENDENT,4,4,172,GSE236713;GSE54514;GSE57065;GSE95233,,GSE236713;GSE54514;GSE57065;GSE95233,PASS
SIG001,T24,STRICT_NEVER_USED,4,2,113,GSE236713;GSE95233,GSE54514 [POSSIBLE_PRIOR_EXTERNAL_BENCHMARK];GSE57065 [POSSIBLE_PRIOR_EXTERNAL_BENCHMARK],GSE236713;GSE95233,PASS
SIG001,T48,ALL_COHORTS,5,5,146,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,PASS
SIG001,T48,PILOT_ONLY,5,2,54,GSE54514;GSE57065,GSE110487 [Cohort-role subset];GSE8121 [Cohort-role subset];GSE95233 [Cohort-role subset],GSE54514;GSE57065,PASS
SIG001,T48,PRESPECIFIED_NON_PILOT_ONLY,5,3,92,GSE110487;GSE8121;GSE95233,GSE54514 [Cohort-role subset];GSE57065 [Cohort-role subset],GSE110487;GSE8121;GSE95233,PASS
SIG001,T48,PRIMARY_INDEPENDENT,5,5,146,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,PASS
SIG001,T48,STRICT_NEVER_USED,5,3,92,GSE110487;GSE8121;GSE95233,GSE54514 [POSSIBLE_PRIOR_EXTERNAL_BENCHMARK];GSE57065 [POSSIBLE_PRIOR_EXTERNAL_BENCHMARK],GSE110487;GSE8121;GSE95233,PASS
SIG001,T72,ALL_COHORTS,1,1,18,GSE54514,,GSE54514,PASS
SIG001,T72,PILOT_ONLY,1,1,18,GSE54514,,GSE54514,PASS
SIG001,T72,PRIMARY_INDEPENDENT,1,1,18,GSE54514,,GSE54514,PASS
SIG001,Day 5,ALL_COHORTS,2,2,82,GSE236713;GSE54514,,GSE236713;GSE54514,PASS
SIG001,Day 5,PILOT_ONLY,2,1,14,GSE54514,GSE236713 [Cohort-role subset],GSE54514,PASS
SIG001,Day 5,PRESPECIFIED_NON_PILOT_ONLY,2,1,68,GSE236713,GSE54514 [Cohort-role subset],GSE236713,PASS
SIG001,Day 5,PRIMARY_INDEPENDENT,2,2,82,GSE236713;GSE54514,,GSE236713;GSE54514,PASS
SIG001,Day 5,STRICT_NEVER_USED,2,1,68,GSE236713,GSE54514 [POSSIBLE_PRIOR_EXTERNAL_BENCHMARK],GSE236713,PASS
SIG002,T24,ALL_COHORTS,4,4,172,GSE236713;GSE54514;GSE57065;GSE95233,,GSE236713;GSE54514;GSE57065;GSE95233,PASS
SIG002,T24,PILOT_ONLY,4,2,59,GSE54514;GSE57065,GSE236713 [Cohort-role subset];GSE95233 [Cohort-role subset],GSE54514;GSE57065,PASS
