signature_id,time_window,analysis_set,dataset,analysis_role,overlap_status,paired_n,cohort_mean_delta_z,bootstrap_se,sampling_variance,tau2,random_weight_unscaled,random_weight_percent,weighted_contribution_to_mu,input_source
SIG001,T24,PRIMARY_INDEPENDENT,GSE236713,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,93,-0.3671599918304727,0.0694735821358722,0.0048265786147897805,0.0,207.186100094954,67.51734187826187,-0.24789666692437862,03_04_cohort_signature_primary_effects.csv
SIG001,T24,PRIMARY_INDEPENDENT,GSE54514,PILOT,POSSIBLE_PRIOR_EXTERNAL_BENCHMARK,31,-0.4195946212790328,0.2225311472998268,0.04952011151857721,0.0,20.19381558995188,6.580715358745061,-0.027612327686977484,03_04_cohort_signature_primary_effects.csv
SIG001,T24,PRIMARY_INDEPENDENT,GSE57065,PILOT,POSSIBLE_PRIOR_EXTERNAL_BENCHMARK,28,-0.4384751306639419,0.1493630567621554,0.022309322725334854,0.0,44.824310101730816,14.607245699440115,-0.06404913966702308,03_04_cohort_signature_primary_effects.csv
SIG001,T24,PRIMARY_INDEPENDENT,GSE95233,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,20,-0.3454618991432918,0.1698595880940423,0.02885227966747772,0.0,34.659306353778334,11.294697063552954,-0.039018874978231644,03_04_cohort_signature_primary_effects.csv
SIG001,T48,PRIMARY_INDEPENDENT,GSE110487,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,31,-1.3107917651278518,0.1337540770891133,0.01789015313796046,0.14033502392560993,6.3201066894570666,21.589686480237656,-0.28299583249987637,03_04_cohort_signature_primary_effects.csv
SIG001,T48,PRIMARY_INDEPENDENT,GSE54514,PILOT,POSSIBLE_PRIOR_EXTERNAL_BENCHMARK,28,-0.902550268217218,0.236024322116567,0.05570748063058497,0.14033502392560993,5.100934627742187,17.424955745264832,-0.15726898481561927,03_04_cohort_signature_primary_effects.csv
SIG001,T48,PRIMARY_INDEPENDENT,GSE57065,PILOT,POSSIBLE_PRIOR_EXTERNAL_BENCHMARK,26,-0.7282455402928125,0.1784156626731567,0.031832148687101644,0.14033502392560993,5.808308197344278,19.841366470987513,-0.14449386645811996,03_04_cohort_signature_primary_effects.csv
SIG001,T48,PRIMARY_INDEPENDENT,GSE8121,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,30,-0.2852149214548444,0.1331205542916965,0.017721081974928516,0.14033502392560993,6.32686724946444,21.612780769331465,-0.061642875695456456,03_04_cohort_signature_primary_effects.csv
SIG001,T48,PRIMARY_INDEPENDENT,GSE95233,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,31,-1.068423878468503,0.1859197841864011,0.03456616615191796,0.14033502392560993,5.717513983505391,19.531210534178538,-0.20867611710111914,03_04_cohort_signature_primary_effects.csv
SIG002,T24,PRIMARY_INDEPENDENT,GSE236713,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,93,-0.0562347099885245,0.0572397300557867,0.003276386696859331,0.0,305.2142779601007,85.84505308732686,-0.04827471664315316,03_04_cohort_signature_primary_effects.csv
SIG002,T24,PRIMARY_INDEPENDENT,GSE57065,PILOT,NO_KNOWN_OVERLAP,28,-0.1512509455466734,0.1796864748017425,0.03228722922667724,0.0,30.971998029913095,8.711233409093806,-0.013175822900032094,03_04_cohort_signature_primary_effects.csv
SIG002,T24,PRIMARY_INDEPENDENT,GSE95233,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,20,-0.1731381740958462,0.2273042643295423,0.051667228582394434,0.0,19.35462821283875,5.443713503579335,-0.009425146163106277,03_04_cohort_signature_primary_effects.csv
SIG002,T48,PRIMARY_INDEPENDENT,GSE110487,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,31,-0.6233480169703263,0.1694731105868873,0.028721135211995333,0.0,34.817565274451674,29.227921441027192,-0.18219166870428782,03_04_cohort_signature_primary_effects.csv
SIG002,T48,PRIMARY_INDEPENDENT,GSE57065,PILOT,NO_KNOWN_OVERLAP,26,-0.78523960089802,0.2116785376477,0.04480780330066875,0.0,22.317541283820873,18.73466275595775,-0.14711199105447265,03_04_cohort_signature_primary_effects.csv
SIG002,T48,PRIMARY_INDEPENDENT,GSE8121,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,30,-0.5781308155291767,0.1606104474722885,0.025795715837248743,0.0,38.76612714720677,32.54257757255759,-0.18813866911444213,03_04_cohort_signature_primary_effects.csv
SIG002,T48,PRIMARY_INDEPENDENT,GSE95233,PRESPECIFIED_NON_PILOT,NO_KNOWN_OVERLAP,31,-0.877910548541263,0.2075104387210425,0.04306058217819953,0.0,23.22309521644773,19.494838230457464,-0.17114724124624098,03_04_cohort_signature_primary_effects.csv
