signature_id,time_window,analysis_set,cohort_n,patient_n,pooled_delta_z,pooled_se,ci95_lower,ci95_upper,tau2,I2_percent,prediction_lower,prediction_upper,direction_consistency,p_value,cohorts,holm_adjusted_p,stability_class,mean_patient_absolute_delta_z
SIG001,T1,PRIMARY_INDEPENDENT,4,172,-0.3785770092566108,0.0167994045564291,-0.4320402122181945,-0.3251138062950271,0.0,0.0,-0.4508590131286006,-0.3062950053846209,1.0,0.0001913460733334,GSE236713;GSE54514;GSE57065;GSE95233,0.0015307685866676,CONSISTENT_DRIFT,0.3856968264031406
SIG001,T2,PRIMARY_INDEPENDENT,5,146,-0.8550776766665187,0.1785335866444616,-1.3507663794189413,-0.3593889739140961,0.1403350280870452,87.39226194985913,-2.1757325775205043,0.4655772241874667,1.0,0.0087150656880013,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,0.0435753284400065,HIGHLY_HETEROGENEOUS,0.8665611243344353
SIG001,T3,PRIMARY_INDEPENDENT,1,18,-0.4119717053981475,,,,,,,,1.0,,GSE54514,,EVIDENCE_INSUFFICIENT,0.4119717053981475
SIG001,T4,PRIMARY_INDEPENDENT,2,82,-0.811846502677311,0.0197382398321686,-1.0626446191216443,-0.5610483862329774,0.0,0.0,,,1.0,0.0154749434370385,GSE236713;GSE54514,,EVIDENCE_INSUFFICIENT,0.8202355712850085
SIG002,T1,PRIMARY_INDEPENDENT,3,141,-0.0708756857062915,0.0256520967478387,-0.1812477498008094,0.0394963783882262,0.0,0.0,-0.3968164789030944,0.2550651074905112,1.0,0.1098311159036037,GSE236713;GSE57065;GSE95233,0.2196622318072074,RELATIVE_STABILITY,0.1024220063487947
SIG002,T2,PRIMARY_INDEPENDENT,4,118,-0.6885895701194436,0.0681960680990167,-0.9056198950760734,-0.4715592451628136,0.0,0.0,-0.982013568680222,-0.3951655715586651,1.0,0.0020689079093603,GSE110487;GSE57065;GSE8121;GSE95233,0.0144823553655225,CONSISTENT_DRIFT,0.5928677508826637
SIG002,T4,PRIMARY_INDEPENDENT,1,68,-0.1370508057004767,,,,,,,,1.0,,GSE236713,,EVIDENCE_INSUFFICIENT,0.1600199165205334
SIG003,T1,PRIMARY_INDEPENDENT,3,141,-0.1730886001174061,0.0222236709699389,-0.268709338680083,-0.0774678615547293,0.0,0.0,-0.4554671134565532,0.1092899132217409,1.0,0.0160884596974386,GSE236713;GSE57065;GSE95233,0.048265379092316,RELATIVE_STABILITY,0.2224469402856311
SIG003,T2,PRIMARY_INDEPENDENT,4,118,-0.8986462115572165,0.1021424244553224,-1.2237089928778342,-0.5735834302365987,0.0007519851137141,0.0,-1.3536923718150016,-0.4436000512994315,1.0,0.0030937443235492,GSE110487;GSE57065;GSE8121;GSE95233,0.0185624659412957,CONSISTENT_DRIFT,0.8743922662281488
SIG003,T4,PRIMARY_INDEPENDENT,1,68,-0.60193957286053,,,,,,,,1.0,,GSE236713,,EVIDENCE_INSUFFICIENT,0.5424568144865297
