analysis_set,signature_id,time_window,time_label,pathway,tier,pathway_method,cohort_count,total_paired_n,pooled_spearman_rho,ci_low,ci_high,prediction_low,prediction_high,tau2_fisher_z,i2_percent,direction_consistency,p_value,fdr_within_analysis_window_tier
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,SINGSCORE,4,172,-0.0373745922728211,-0.5347224531468913,0.4792046617884811,-0.9127982321301004,0.8994371377064784,0.0917273439389012,74.83884899361816,0.75,0.8451612271223148,0.941967993293302
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SINGSCORE,4,172,-0.404357894735606,-0.6972049555419154,0.0041454442725762,-0.8943499480027951,0.5266904113167599,0.0370722509325963,54.925537138046565,1.0,0.0511871164007118,0.2701719313239064
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,SINGSCORE,4,172,-0.085310625838372,-0.1625422322457294,-0.0070400590627184,-0.1893094186013108,0.0205809247054612,0.0,0.0,1.0,0.0404066933695495,0.4173799732598848
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ANGIOGENESIS,HALLMARK_SECONDARY,SINGSCORE,3,141,-0.0441880975540292,-0.5123243411202714,0.4441930287201779,-0.9791773088479496,0.9751986375035356,0.0161848459551579,33.888162686540944,0.6666666666666666,0.7502868871660959,0.8708063449457267
ALL_COHORTS,SIG001,T1,T24,HALLMARK_APICAL_JUNCTION,HALLMARK_SECONDARY,SINGSCORE,4,172,-0.043848740979254,-0.1608663521363029,0.0743845351475989,-0.2011702472423366,0.1156779470635786,0.0,0.0,0.75,0.3232646708098207,0.6040562643678696
ALL_COHORTS,SIG001,T1,T24,HALLMARK_APICAL_SURFACE,HALLMARK_SECONDARY,SINGSCORE,4,172,-0.3052946363284464,-0.5027591603250406,-0.077548413956516,-0.5785897429957318,0.029635228192944,0.0008529329947628,0.0,1.0,0.0242776188095865,0.4173799732598848
ALL_COHORTS,SIG001,T1,T24,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SINGSCORE,4,172,-0.1120456237612093,-0.2348967643612602,0.0143288206140882,-0.2766177118521169,0.0589113731052583,0.0,0.0,0.75,0.0665769983359949,0.2701719313239064
ALL_COHORTS,SIG001,T1,T24,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_SECONDARY,SINGSCORE,4,172,-0.0588499438216762,-0.3760754049452804,0.2707237065691357,-0.6972205529727306,0.6315769723958286,0.0236420285241034,41.73565160972986,0.5,0.6163152935683446,0.8084931424966466
ALL_COHORTS,SIG001,T1,T24,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_SECONDARY,SINGSCORE,4,172,0.2387746601771627,-0.209372174812547,0.6040269485318988,-0.765245144775258,0.9043682009480192,0.0641719329665649,73.07888179866593,0.75,0.1878317880319573,0.4968453747942098
ALL_COHORTS,SIG001,T1,T24,HALLMARK_COAGULATION,PRESET_PRIMARY,SINGSCORE,3,141,-0.0392455019090826,-0.3594840892414951,0.2892631671117109,-0.7757248509450264,0.7424935484872142,0.0,0.0,0.6666666666666666,0.6659061372451357,0.7553846020380877
ALL_COHORTS,SIG001,T1,T24,HALLMARK_COMPLEMENT,PRESET_PRIMARY,SINGSCORE,4,172,-0.0590365430954071,-0.3807854586922671,0.2754644735419984,-0.6303484303431717,0.5537568533193655,0.0136499316345875,33.094994174493756,0.75,0.6204968265136385,0.7499464195108025
ALL_COHORTS,SIG001,T1,T24,HALLMARK_DNA_REPAIR,HALLMARK_SECONDARY,SINGSCORE,4,172,-0.2036168659198224,-0.4583264950720082,0.0820001962529655,-0.6974109103651931,0.4212706719331502,0.0149980305650087,23.226109384938304,1.0,0.1072848757156005,0.4873064113824796
ALL_COHORTS,SIG001,T1,T24,HALLMARK_E2F_TARGETS,HALLMARK_SECONDARY,SINGSCORE,4,172,0.0048099476779594,-0.3858880543376503,0.3940449861159844,-0.7917696068045682,0.795331585246181,0.0463766638847267,63.88345449350108,0.75,0.9726808811762492,0.9877378607610208
ALL_COHORTS,SIG001,T1,T24,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_SECONDARY,SINGSCORE,4,172,-0.0027595941204296,-0.0622615688463064,0.0567619277768061,-0.0831227717703412,0.0776392438618561,0.0,0.0,0.5,0.8921676206031952,0.9496869203285452
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_SECONDARY,SINGSCORE,3,141,-0.2599699283998601,-0.6782325681478081,0.2855196564627366,-0.9943656676987358,0.9837539755664304,0.0271823958026453,45.26029673275459,1.0,0.1774851016811897,0.4953037401376876
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_SECONDARY,SINGSCORE,4,172,-0.0619207270738065,-0.3386316382582209,0.2246482064240501,-0.5933409410471847,0.5070913600749534,0.0124830033110692,19.87747652244345,0.75,0.5457706351534433,0.7920918952669441
ALL_COHORTS,SIG001,T1,T24,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_SECONDARY,SINGSCORE,4,172,-0.0961409927274005,-0.4731600183222942,0.3106424973266398,-0.8025546189630159,0.722507568365014,0.0378006241049393,55.28112673054086,0.5,0.5157027878763383,0.765489801962308
