analysis_set,signature_id,time_window,time_label,pathway,tier,pathway_method,cohort_count,total_paired_n,pooled_spearman_rho,ci_low,ci_high,prediction_low,prediction_high,tau2_fisher_z,i2_percent,direction_consistency,p_value,fdr_within_analysis_window_tier
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,SSGSEA_RANK_WALK,4,172,0.0086180711862489,-0.4621502265135993,0.4755969139818425,-0.8746650237456652,0.8786544070091271,0.0745412455139093,72.62166860660874,0.5,0.9603883354884152,0.9782837703111807
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SSGSEA_RANK_WALK,4,172,-0.4182442165641066,-0.7172150123141864,0.0107615250778375,-0.9179998089270238,0.5947823535003408,0.0484865587652112,62.20214228034001,1.0,0.052989123001199,0.3037634323098072
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,SSGSEA_RANK_WALK,4,172,-0.0488447848559554,-0.1419958880549995,0.0451638323991943,-0.1742797031020372,0.0781500089313714,0.0,0.0,0.5,0.1967765415740703,0.4923608600681911
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ANGIOGENESIS,HALLMARK_SECONDARY,SSGSEA_RANK_WALK,3,141,-0.0827595668709984,-0.5359389241028819,0.4074434258716903,-0.9868695751579344,0.9817502875279904,0.0221228124548706,38.00313734460985,0.6666666666666666,0.5602978998579506,0.7941866494065205
ALL_COHORTS,SIG001,T1,T24,HALLMARK_APICAL_JUNCTION,HALLMARK_SECONDARY,SSGSEA_RANK_WALK,4,172,-0.0456290084040116,-0.1668224164711905,0.0769226327411203,-0.2084962025210747,0.1197005959841207,0.0,0.0,0.75,0.3216956126071109,0.6134660519484442
ALL_COHORTS,SIG001,T1,T24,HALLMARK_APICAL_SURFACE,HALLMARK_SECONDARY,SSGSEA_RANK_WALK,4,172,-0.3529486653211974,-0.6156604803525605,-0.0196271359693005,-0.8424660562539813,0.4557972730093496,0.0279866994084383,47.47701103915868,1.0,0.0436895137682949,0.4697492255564774
ALL_COHORTS,SIG001,T1,T24,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SSGSEA_RANK_WALK,4,172,-0.1308854789908757,-0.3019994009386312,0.04839904338991,-0.358448619728583,0.1113595754558355,0.0,0.0,0.75,0.1024801162439983,0.3353894713439946
ALL_COHORTS,SIG001,T1,T24,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_SECONDARY,SSGSEA_RANK_WALK,4,172,-0.013211733490199,-0.3607714953979771,0.3375700776336386,-0.7296001097918184,0.7170016034740946,0.0320679095314115,52.21219654233451,0.5,0.9154631801122586,0.9624100098616052
ALL_COHORTS,SIG001,T1,T24,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_SECONDARY,SSGSEA_RANK_WALK,4,172,0.2758338373293723,-0.2200299145384176,0.6584214458534048,-0.811879313046166,0.9352654610678826,0.0828926260268557,78.47315594180859,0.75,0.1734738685510725,0.4923608600681911
ALL_COHORTS,SIG001,T1,T24,HALLMARK_COAGULATION,PRESET_PRIMARY,SSGSEA_RANK_WALK,3,141,-0.0294033291848165,-0.3663916427807316,0.3144041669774841,-0.8536809150194606,0.8369030720965083,0.0027250564658949,0.0,0.6666666666666666,0.7554735894021583,0.8878246626659128
ALL_COHORTS,SIG001,T1,T24,HALLMARK_COMPLEMENT,PRESET_PRIMARY,SSGSEA_RANK_WALK,4,172,-0.0523193950238256,-0.5115154724805244,0.4301214597288558,-0.8774655207835776,0.8510388432238571,0.0670952968241486,65.23415813017985,0.75,0.7663637764344748,0.8878246626659128
