dataset,platform_id,feature_id,original_symbol,canonical_symbol,match_basis,mapping_ambiguity,included_in_lock,evidence_source
GSE110487,RNASEQ_GENCODE25,ENSG00000169252,ADRB2,ADRB2,SYMBOL:ADRB2,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000138772,ANXA3,ANXA3,SYMBOL:ANXA3,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000103569,AQP9,AQP9,SYMBOL:AQP9,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000144848,ATG3,ATG3,SYMBOL:ATG3,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000172232,AZU1,AZU1,SYMBOL:AZU1,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000156127,BATF,BATF,SYMBOL:BATF,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000060982,BCAT1,BCAT1,SYMBOL:BCAT1,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000153094,BCL2L11,BCL2L11,SYMBOL:BCL2L11,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000113916,BCL6,BCL6,SYMBOL:BCL6,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000011114,BTBD7,BTBD7,SYMBOL:BTBD7,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000154473,BUB3,BUB3,SYMBOL:BUB3,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000171860,C3AR1,C3AR1,SYMBOL:C3AR1,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000164047,CAMP,CAMP,SYMBOL:CAMP,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000198824,CAMP,CAMP,ALIAS:CAMP,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000165806,CASP7,CASP7,SYMBOL:CASP7,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000108691,CCL2,CCL2,SYMBOL:CCL2,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000079385,CEACAM1,CEACAM1,SYMBOL:CEACAM1,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000105352,CEACAM4,CEACAM4,SYMBOL:CEACAM4,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000124469,CEACAM8,CEACAM8,SYMBOL:CEACAM8,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000138180,CEP55,CEP55,SYMBOL:CEP55,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000164733,CTSB,CTSB,SYMBOL:CTSB,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000100448,CTSG,CTSG,SYMBOL:CTSG,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000168329,CX3CR1,CX3CR1,SYMBOL:CX3CR1,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000172215,CXCR6,CXCR6,SYMBOL:CXCR6,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000164821,DEFA4,DEFA4,SYMBOL:DEFA4,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000147443,DOK2,DOK2,SYMBOL:DOK2,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000146094,DOK3,DOK3,SYMBOL:DOK3,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000112685,EXOC2,EXOC2,SYMBOL:EXOC2,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000162894,FAIM3,FAIM3,ALIAS:FAIM3,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000047346,FAM214A,FAM214A,ALIAS:FAM214A,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000182118,FAM89A,FAM89A,SYMBOL:FAM89A,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000060558,GNA15,GNA15,SYMBOL:GNA15,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000197858,GPAA1,GPAA1,SYMBOL:GPAA1,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000160883,HK3,HK3,SYMBOL:HK3,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000168172,HK3,HK3,ALIAS:HK3,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000223865,HLA-DPB1,HLA-DPB1,SYMBOL:HLA-DPB1,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000231389,HLA-DPB1,HLA-DPB1,ALIAS:HLA-DPB1,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000072571,HMMR,HMMR,SYMBOL:HMMR,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000148057,IDNK,IDNK,SYMBOL:IDNK,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000165949,IFI27,IFI27,SYMBOL:IFI27,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000137959,IFI44L,IFI44L,SYMBOL:IFI44L,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000077238,IL4R,IL4R,SYMBOL:IL4R,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000173801,JUP,JUP,SYMBOL:JUP,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000163808,KIF15,KIF15,SYMBOL:KIF15,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000109466,KLHL2,KLHL2,SYMBOL:KLHL2,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000111796,KLRB1,KLRB1,SYMBOL:KLRB1,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000185896,LAMP1,LAMP1,SYMBOL:LAMP1,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000122188,LAX1,LAX1,SYMBOL:LAX1,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000148346,LCN2,LCN2,SYMBOL:LCN2,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000227507,LTB,LTB,SYMBOL:LTB,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000204103,MAFB,MAFB,SYMBOL:MAFB,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000137409,MTCH1,MTCH1,SYMBOL:MTCH1,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000105402,NAPA,NAPA,SYMBOL:NAPA,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000131400,NAPA,NAPA,ALIAS:NAPA,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
GSE110487,RNASEQ_GENCODE25,ENSG00000091592,NLRP1,NLRP1,SYMBOL:NLRP1,NO,YES,org.Hs.eg.db 3.22.0; GENCODE v25 source counts
