dataset,signature_id,time_window,paired_n,mean_delta_z,median_delta_z,q1_delta_z,q3_delta_z,bootstrap_se,ci95_lower,ci95_upper,mean_raw_change,proportion_increasing,paired_correlation,winsorized_mean_delta_z,max_leave_one_out_mean_shift,mixed_model_effect,mixed_model_se,model_status,analysis_role
GSE110487,SIG001,T2,31,-1.3107917651278518,-1.3119693377569988,-1.7244082325379215,-0.939828424281105,0.13375407708911338,-1.5659357537327407,-1.0385590170577526,-1.2078131206724985,0.06451612903225806,0.6972169905511344,-1.3092333511040168,0.05084608832435289,-1.3107917651278507,0.1331744199466209,CONVERGED,PRESPECIFIED_NON_PILOT
GSE110487,SIG002,T2,31,-0.6233480169703263,-0.7412541465756051,-1.4073553156766008,-0.09950430257194409,0.16947311058688733,-0.9434907490540896,-0.28437483575248595,-1.1988343546222202,0.22580645161290322,0.46870669860971087,-0.6332924974123796,0.06819962235372212,-0.6233480169703272,0.17198182080880783,CONVERGED,PRESPECIFIED_NON_PILOT
GSE110487,SIG003,T2,31,-0.7868559868794359,-0.911971570552519,-1.3336466757293166,-0.26244863652834605,0.14523429568740254,-1.0664986223299189,-0.5005140983419198,-0.08347896858425254,0.1935483870967742,0.6052295613193228,-0.7811204926592419,0.05350518627869383,-0.7868559868794357,0.15108576298033338,CONVERGED,PRESPECIFIED_NON_PILOT
GSE110487,SIG004,T2,31,0.9322148605921703,0.9027835579706202,0.4899860577154629,1.5134517149168947,0.1347933195224405,0.6619279008984681,1.1934966584462667,0.12280057457390332,0.9032258064516129,0.6580251872305964,0.9278740443648031,0.05934824279154005,0.9322148605921694,0.13687702721567568,CONVERGED,PRESPECIFIED_NON_PILOT
GSE110487,SIG022,T2,31,0.5634089336759799,0.554116477492478,0.10448884619434538,0.815252425097597,0.1048219701076879,0.3651929913183422,0.7738654169156528,0.6343765596611605,0.7741935483870968,0.8260153877318612,0.5513443362761961,0.05583714064289125,0.5634089336759799,0.10317483877156723,CONVERGED,PRESPECIFIED_NON_PILOT
GSE110487,SIG023,T2,31,-0.26800068679926037,-0.12291534086708371,-0.6164367240358811,0.11191323221955504,0.12179217650562606,-0.5052751637037893,-0.038318059478660876,-0.6700221754754553,0.3548387096774194,0.7407684735199802,-0.2674794405639277,0.05026291083034129,-0.2680006867992602,0.12468475916559174,CONVERGED,PRESPECIFIED_NON_PILOT
GSE110487,SIG033,T2,31,0.1763836941232022,0.3643719813790038,-0.23031204921109483,0.8382840665616882,0.17573317955307294,-0.1955059318690392,0.4941030484508145,0.1965896827313867,0.6129032258064516,0.4649283984928122,0.1939624494253598,0.10692463940812735,0.17638369412320065,0.177708346085646,CONVERGED,PRESPECIFIED_NON_PILOT
GSE110487,SIG034,T2,31,-0.21653473980379592,-0.1856754816002786,-0.666543225738459,0.3814805413252333,0.14779309752292968,-0.5178024254696564,0.0627513598540807,-0.016535932168011865,0.45161290322580644,0.7229141765625415,-0.21390842236937962,0.06717728071282686,-0.21653473980379817,0.15122152781323464,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG001,T1,93,-0.3671599918304727,-0.2821282038533412,-0.8020060815671985,-0.01967229640846334,0.06947358213587221,-0.5006987866011641,-0.23196886258122093,-0.47811328567648154,0.24731182795698925,0.733444880988243,-0.34521583294265573,0.030857625786701315,-0.3671599918304733,0.07196697149338992,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG001,T4,68,-0.8066189040717808,-0.6910298325754847,-1.1799294323286447,-0.21630850682852537,0.10171136706873818,-1.0205309672942253,-0.6117613768622029,-1.0503737419533141,0.14705882352941177,0.5459103938221892,-0.7903467234884242,0.04677498130411395,-0.8066189040717817,0.10102390603157434,CONVERGED,PRESPECIFIED_NON_PILOT
