analysis_set,signature_id,time_window,time_label,pathway,tier,pathway_method,cohort_count,total_paired_n,pooled_spearman_rho,ci_low,ci_high,prediction_low,prediction_high,tau2_fisher_z,i2_percent,direction_consistency,p_value,fdr_within_analysis_window_tier
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,SINGSCORE,4,172,-0.0266624218652453,-0.5263529351127101,0.48671729699458,-0.9109481432157708,0.9014174811335244,0.0917874981992838,75.1025077765179,0.75,0.888843767743642,0.9465608955192032
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SINGSCORE,4,172,-0.4260830348071088,-0.7397010658940334,0.0395961139060871,-0.9350738944636804,0.656776362146084,0.0591888660645206,65.17640499219767,1.0,0.0611192612675827,0.2707264740017128
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,SINGSCORE,4,172,-0.0855067796871343,-0.1576712163692729,-0.0124339015270648,-0.1827173005001591,0.0133594297669826,0.0,0.0,1.0,0.0337500521275888,0.4071999739120827
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ANGIOGENESIS,HALLMARK_SECONDARY,SINGSCORE,3,141,-0.0263503086217627,-0.4864915462151046,0.445234682211421,-0.9729627574086424,0.9700017516580356,0.0140226199636293,30.582093756631338,0.6666666666666666,0.8432067387559116,0.9375315603794542
ALL_COHORTS,SIG001,T1,T24,HALLMARK_APICAL_JUNCTION,HALLMARK_SECONDARY,SINGSCORE,4,172,-0.0313534665970078,-0.1455471556107227,0.0836646472105804,-0.1849919579786566,0.1237810926346862,0.0,0.0,0.75,0.4500780674934755,0.7236549320483331
ALL_COHORTS,SIG001,T1,T24,HALLMARK_APICAL_SURFACE,HALLMARK_SECONDARY,SINGSCORE,4,172,-0.3149413156570929,-0.5332774401446972,-0.0572661632090793,-0.6683587959403298,0.1544814084807943,0.0054079719327643,5.255977729003785,1.0,0.030702749568914,0.4071999739120827
ALL_COHORTS,SIG001,T1,T24,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SINGSCORE,4,172,-0.119902030139033,-0.254769035812675,0.0195405606614847,-0.30024999398686,0.0687225936322973,0.0,0.0,0.75,0.0714417084171186,0.2707264740017128
ALL_COHORTS,SIG001,T1,T24,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_SECONDARY,SINGSCORE,4,172,-0.0605735345809791,-0.3773172808259309,0.2688578975684496,-0.6974229351938318,0.6297306509609812,0.02354501712655,41.569822907063504,0.5,0.6062077140401106,0.8117014486176651
ALL_COHORTS,SIG001,T1,T24,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_SECONDARY,SINGSCORE,4,172,0.253170965655916,-0.2098812297949713,0.6234586959041122,-0.7801400840398297,0.9159574026287396,0.069942413635806,75.0671535015033,0.75,0.1792355739780959,0.4927971343614044
ALL_COHORTS,SIG001,T1,T24,HALLMARK_COAGULATION,PRESET_PRIMARY,SINGSCORE,3,141,-0.0299171583191826,-0.3579138999262777,0.3046515301307256,-0.7808187476742173,0.756342474176928,0.0,0.0,0.6666666666666666,0.7445276589156715,0.7883234035577699
