analysis_set,signature_id,time_window,time_label,pathway,tier,pathway_method,cohort_count,total_paired_n,pooled_spearman_rho,ci_low,ci_high,prediction_low,prediction_high,tau2_fisher_z,i2_percent,direction_consistency,p_value,fdr_within_analysis_window_tier
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,SSGSEA_RANK_WALK,4,172,0.008618071186248903,-0.4621502265135993,0.47559691398184256,-0.8746650237456652,0.8786544070091271,0.07454124551390931,72.62166860660874,0.5,0.9603883354884153,0.9782837703111807
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SSGSEA_RANK_WALK,4,172,-0.41824421656410665,-0.7172150123141864,0.010761525077837526,-0.9179998089270238,0.5947823535003408,0.04848655876521129,62.20214228034001,1.0,0.05298912300119907,0.30376343230980724
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,SSGSEA_RANK_WALK,4,172,-0.04884478485595545,-0.14199588805499952,0.045163832399194345,-0.17427970310203728,0.0781500089313714,0.0,0.0,0.5,0.19677654157407037,0.49236086006819113
ALL_COHORTS,SIG001,T1,T24,HALLMARK_ANGIOGENESIS,HALLMARK_SECONDARY,SSGSEA_RANK_WALK,3,141,-0.08275956687099847,-0.5359389241028819,0.40744342587169036,-0.9868695751579343,0.9817502875279903,0.022122812454870647,38.00313734460985,0.6666666666666666,0.5602978998579506,0.7941866494065205
ALL_COHORTS,SIG001,T1,T24,HALLMARK_APICAL_JUNCTION,HALLMARK_SECONDARY,SSGSEA_RANK_WALK,4,172,-0.04562900840401166,-0.16682241647119053,0.07692263274112039,-0.2084962025210747,0.11970059598412075,0.0,0.0,0.75,0.32169561260711094,0.6134660519484442
ALL_COHORTS,SIG001,T1,T24,HALLMARK_APICAL_SURFACE,HALLMARK_SECONDARY,SSGSEA_RANK_WALK,4,172,-0.35294866532119745,-0.6156604803525605,-0.019627135969300546,-0.8424660562539813,0.4557972730093496,0.027986699408438388,47.47701103915868,1.0,0.0436895137682949,0.4697492255564774
ALL_COHORTS,SIG001,T1,T24,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SSGSEA_RANK_WALK,4,172,-0.13088547899087571,-0.3019994009386312,0.04839904338991001,-0.358448619728583,0.1113595754558355,0.0,0.0,0.75,0.10248011624399837,0.33538947134399466
ALL_COHORTS,SIG001,T1,T24,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_SECONDARY,SSGSEA_RANK_WALK,4,172,-0.013211733490199051,-0.36077149539797715,0.33757007763363867,-0.7296001097918184,0.7170016034740946,0.03206790953141152,52.21219654233451,0.5,0.9154631801122586,0.9624100098616052
ALL_COHORTS,SIG001,T1,T24,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_SECONDARY,SSGSEA_RANK_WALK,4,172,0.27583383732937233,-0.22002991453841766,0.6584214458534048,-0.811879313046166,0.9352654610678826,0.08289262602685576,78.47315594180859,0.75,0.1734738685510725,0.49236086006819113
ALL_COHORTS,SIG001,T1,T24,HALLMARK_COAGULATION,PRESET_PRIMARY,SSGSEA_RANK_WALK,3,141,-0.029403329184816578,-0.3663916427807316,0.31440416697748413,-0.8536809150194606,0.8369030720965083,0.0027250564658949563,0.0,0.6666666666666666,0.7554735894021583,0.8878246626659128
