check,observed_rows,expected_rows,columns_checked,max_abs_numeric_diff,text_mismatches,status,all_workbook_checks_pass,public_figure_rerun,main_reports_six_primary,main_reports_four_modified,main_discloses_5_6_correction,main_reports_confirmation,si_defines_shapley,si_defines_owen,si_names_s25_s26,old_governance_claim_absent
S11_GeneArch,8.0,8.0,15.0,2.220446049250313e-16,0.0,PASS,,,,,,,,,,
S12_GeneMeta,1141.0,1141.0,15.0,1.4210854715202004e-14,0.0,PASS,,,,,,,,,,
S13_Pathway,1664.0,1664.0,13.0,1.4210854715202004e-14,0.0,PASS,,,,,,,,,,
S14_CellSource,96.0,96.0,4.0,1.1102230246251565e-16,0.0,PASS,,,,,,,,,,
S15_Integrated,8.0,8.0,28.0,0.0,0.0,PASS,,,,,,,,,,
S16_Verification,38.0,,,,,PASS,True,PASS,,,,,,,,
S17_ThresholdSensitivity,8.0,8.0,7.0,0.0,0.0,PASS,,,,,,,,,,
S18_MetaInputs,66.0,66.0,11.0,7.105427357601002e-15,0.0,PASS,,,,,,,,,,
S19_MetaComposition,57.0,57.0,7.0,0.0,0.0,PASS,,,,,,,,,,
S20_CohortIndependence,6.0,6.0,9.0,0.0,0.0,PASS,,,,,,,,,,
S21_DatasetSearch,15.0,,,,,PASS,,,,,,,,,,
S22_LandmarkMissingness,12.0,12.0,13.0,0.0,0.0,PASS,,,,,,,,,,
S23_BaselineSignatureSMD,72.0,72.0,9.0,0.0,0.0,PASS,,,,,,,,,,
S23_BaselineCovariateSMD,30.0,30.0,7.0,0.0,0.0,PASS,,,,,,,,,,
S24_TippingPoint,16.0,16.0,11.0,0.0,0.0,PASS,,,,,,,,,,
S25_ModifiedHK,8.0,8.0,15.0,6.938893903907228e-17,0.0,PASS,,,,,,,,,,
S26_PostFreezeConfirm,24.0,24.0,8.0,2.220446049250313e-16,0.0,PASS,,,,,,,,,,
FigureSource:Fig1,6.0,6.0,7.0,0.0,0.0,PASS,,,,,,,,,,
FigureSource:Fig2,16.0,16.0,14.0,0.0,0.0,PASS,,,,,,,,,,
FigureSource:Fig3_AB,96.0,96.0,17.0,0.0,0.0,PASS,,,,,,,,,,
FigureSource:Fig3_C,29.0,29.0,16.0,0.0,0.0,PASS,,,,,,,,,,
FigureSource:Fig4_A,78.0,78.0,16.0,0.0,0.0,PASS,,,,,,,,,,
FigureSource:Fig4_B,8.0,8.0,22.0,0.0,0.0,PASS,,,,,,,,,,
FigureSource:Fig5_GeneMeta,1141.0,1141.0,15.0,0.0,0.0,PASS,,,,,,,,,,
FigureSource:Fig5_Pathway,1664.0,1664.0,15.0,0.0,0.0,PASS,,,,,,,,,,
FigureSource:Fig5_ssGSEA,1664.0,1664.0,15.0,0.0,0.0,PASS,,,,,,,,,,
FigureSource:Fig5_CellSource,74.0,74.0,13.0,0.0,0.0,PASS,,,,,,,,,,
FigureSource:Fig5_GeneCell,96.0,96.0,4.0,0.0,0.0,PASS,,,,,,,,,,
FigureSource:Fig6,8.0,8.0,5.0,0.0,0.0,PASS,,,,,,,,,,
Main_SI_text_assertions,,,,,,PASS,,,True,True,True,True,True,True,True,True
Release_source_table_sync,,,,,,PASS,,,,,,,,,,
