dataset,time_window,signature_id,stratum,n_pairs,baseline_sd,mean_delta_z,bootstrap_se,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates,seed
GSE106878,T24,SIG001,all,47,0.7620521923684607,-0.9724639085230999,0.08240418540068604,-1.1389084731868078,-0.8120339112435242,2000,20260720
GSE106878,T24,SIG001,hydrocortisone,24,0.7620521923684607,-0.9681824770437837,0.12915272591126284,-1.2225540493600064,-0.7172804594296999,2000,20260720
GSE106878,T24,SIG001,placebo,23,0.7620521923684607,-0.9769314891971689,0.10865056846094005,-1.1888092038776752,-0.7615297263312435,2000,20260720
GSE106878,T24,SIG002,all,47,0.900373415392764,-1.48355113600434,0.14624052989521535,-1.765863177536068,-1.2010005111058981,2000,20260720
GSE106878,T24,SIG002,hydrocortisone,24,0.900373415392764,-2.1069263335007236,0.18237710957888556,-2.4656757847801645,-1.7391746172397333,2000,20260720
GSE106878,T24,SIG002,placebo,23,0.900373415392764,-0.8330726690515919,0.1286964899509864,-1.0873466981717153,-0.5926521153337844,2000,20260720
GSE106878,T24,SIG003,all,47,0.08649572564036902,-1.1168213514047896,0.12450439934829136,-1.3671198600114034,-0.8834960296563807,2000,20260720
GSE106878,T24,SIG003,hydrocortisone,24,0.08649572564036902,-1.3839764539827675,0.1753406803437527,-1.723641516735771,-1.042031716471633,2000,20260720
GSE106878,T24,SIG003,placebo,23,0.08649572564036902,-0.8380508095842912,0.14739099670298972,-1.1264316254466704,-0.5446817915047952,2000,20260720
GSE106878,T24,SIG004,all,47,0.09148889809321861,0.917187673928951,0.10537824488066432,0.7067625567194223,1.1131637805632164,2000,20260720
GSE106878,T24,SIG004,hydrocortisone,24,0.09148889809321861,1.0187039734218681,0.15470935731399788,0.7093138917626831,1.3166724886988737,2000,20260720
GSE106878,T24,SIG004,placebo,23,0.09148889809321861,0.8112576222841676,0.1376798629859968,0.5340209037747017,1.070163252989684,2000,20260720
GSE106878,T24,SIG022,all,47,0.8055713946778139,0.182821963782548,0.07885305591213304,0.02846202809025858,0.3349971901556054,2000,20260720
GSE106878,T24,SIG022,hydrocortisone,24,0.8055713946778139,0.09151753362711845,0.10946004929064374,-0.1168174527809978,0.30046140334095905,2000,20260720
GSE106878,T24,SIG022,placebo,23,0.8055713946778139,0.27809615177082236,0.1118973298436558,0.05518052236546455,0.4918858316165954,2000,20260720
GSE106878,T24,SIG023,all,47,1.8754325304059154,-0.20761978205021844,0.08728514271196917,-0.3660960480400415,-0.03499713896050103,2000,20260720
GSE106878,T24,SIG023,hydrocortisone,24,1.8754325304059154,-0.08546841136711365,0.1406621520345215,-0.33736852383160704,0.20380698104800496,2000,20260720
GSE106878,T24,SIG023,placebo,23,1.8754325304059154,-0.3350820818934584,0.09624453658537244,-0.5205730096055609,-0.1435750156832693,2000,20260720
GSE106878,T24,SIG033,all,47,0.7221448277341548,0.20777409504369226,0.12060724656638326,-0.03213650407663715,0.44521983282177474,2000,20260720
GSE106878,T24,SIG033,hydrocortisone,24,0.7221448277341548,0.34805149364052174,0.1860332372481181,-0.012504760124508242,0.7153414612974571,2000,20260720
GSE106878,T24,SIG033,placebo,23,0.7221448277341548,0.0613976791165658,0.15874334776377966,-0.25093136617298617,0.3718278294462112,2000,20260720
GSE106878,T24,SIG034,all,47,0.05436586563812817,0.18696366996726868,0.11934509033701322,-0.03331464357743406,0.4328143486143381,2000,20260720
GSE106878,T24,SIG034,hydrocortisone,24,0.05436586563812817,0.1836632443302939,0.19139155994158383,-0.16770594595183638,0.5621810843181749,2000,20260720
GSE106878,T24,SIG034,placebo,23,0.05436586563812817,0.1904075923710682,0.15005059623973568,-0.10207786208202237,0.48759763570147174,2000,20260720
