signature_id,gene,gene_group,original_coefficient,direction_coefficient,attribution_method
SIG001,CEACAM1,UP_GEOMETRIC_MEAN,,1,EXACT_GROUPED_SHAPLEY_GEOMETRIC_MEAN_DIFFERENCE
SIG001,ZDHHC19,UP_GEOMETRIC_MEAN,,1,EXACT_GROUPED_SHAPLEY_GEOMETRIC_MEAN_DIFFERENCE
SIG001,NMRK1,UP_GEOMETRIC_MEAN,,1,EXACT_GROUPED_SHAPLEY_GEOMETRIC_MEAN_DIFFERENCE
SIG001,GNA15,UP_GEOMETRIC_MEAN,,1,EXACT_GROUPED_SHAPLEY_GEOMETRIC_MEAN_DIFFERENCE
SIG001,BATF,UP_GEOMETRIC_MEAN,,1,EXACT_GROUPED_SHAPLEY_GEOMETRIC_MEAN_DIFFERENCE
SIG001,C3AR1,UP_GEOMETRIC_MEAN,,1,EXACT_GROUPED_SHAPLEY_GEOMETRIC_MEAN_DIFFERENCE
SIG001,FAM214A,DOWN_GEOMETRIC_MEAN,,1,EXACT_GROUPED_SHAPLEY_GEOMETRIC_MEAN_DIFFERENCE
SIG001,TGFBI,DOWN_GEOMETRIC_MEAN,,1,EXACT_GROUPED_SHAPLEY_GEOMETRIC_MEAN_DIFFERENCE
SIG001,MTCH1,DOWN_GEOMETRIC_MEAN,,1,EXACT_GROUPED_SHAPLEY_GEOMETRIC_MEAN_DIFFERENCE
SIG001,RPGRIP1,DOWN_GEOMETRIC_MEAN,,1,EXACT_GROUPED_SHAPLEY_GEOMETRIC_MEAN_DIFFERENCE
SIG001,HLA-DPB1,DOWN_GEOMETRIC_MEAN,,1,EXACT_GROUPED_SHAPLEY_GEOMETRIC_MEAN_DIFFERENCE
SIG002,PLAC8,LINEAR_PANEL,1.0,1,EXACT_LINEAR
SIG002,LAMP1,LINEAR_PANEL,1.0,1,EXACT_LINEAR
SIG002,PLA2G7,LINEAR_PANEL,-1.0,1,EXACT_LINEAR
SIG002,CEACAM4,LINEAR_PANEL,-1.0,1,EXACT_LINEAR
SIG003,FAIM3,RATIO_PANEL,,-1,EXACT_SHAPLEY_RATIO_2_GENE
