dataset,signature_id,time_window,record_n,pass_n,max_raw_absolute_error,max_delta_z_absolute_error,status
GSE110487,SIG001,T2,31,31,7.993605777301127e-15,8.659739592076221e-15,PASS
GSE110487,SIG002,T2,31,31,5.329070518200751e-15,2.7755575615628914e-15,PASS
GSE110487,SIG003,T2,31,31,0.0,0.0,PASS
GSE110487,SIG004,T2,31,31,5.551115123125783e-17,4.440892098500626e-16,PASS
GSE110487,SIG022,T2,31,31,6.328271240363392e-15,5.551115123125783e-15,PASS
GSE110487,SIG023,T2,31,31,0.0,0.0,PASS
GSE110487,SIG033,T2,31,31,5.551115123125783e-15,4.9960036108132044e-15,PASS
GSE110487,SIG034,T2,31,31,1.3114509478384662e-15,1.715294573045867e-14,PASS
GSE236713,SIG001,T1,93,93,9.242606680004428e-15,7.0915495697931874e-15,PASS
GSE236713,SIG001,T4,68,68,1.4210854715202004e-14,1.0880185641326534e-14,PASS
GSE236713,SIG002,T1,93,93,6.217248937900877e-15,3.0808688933348094e-15,PASS
GSE236713,SIG002,T4,68,68,6.217248937900877e-15,3.1086244689504383e-15,PASS
GSE236713,SIG003,T1,93,93,0.0,0.0,PASS
GSE236713,SIG003,T4,68,68,0.0,0.0,PASS
GSE236713,SIG004,T1,93,93,5.551115123125783e-17,4.440892098500626e-16,PASS
GSE236713,SIG004,T4,68,68,5.551115123125783e-17,4.440892098500626e-16,PASS
GSE236713,SIG022,T1,93,93,1.0769163338864018e-14,6.994405055138486e-15,PASS
GSE236713,SIG022,T4,68,68,8.881784197001252e-15,5.773159728050814e-15,PASS
GSE236713,SIG023,T1,93,93,4.440892098500626e-16,1.1102230246251565e-16,PASS
GSE236713,SIG023,T4,68,68,4.440892098500626e-16,1.1102230246251565e-16,PASS
GSE236713,SIG033,T1,93,93,5.551115123125783e-15,3.774758283725532e-15,PASS
GSE236713,SIG033,T4,68,68,5.329070518200751e-15,3.774758283725532e-15,PASS
GSE236713,SIG034,T1,93,93,8.98586760555986e-16,9.305056725139593e-15,PASS
GSE236713,SIG034,T4,68,68,9.298117831235686e-16,9.603429163007604e-15,PASS
GSE54514,SIG001,T1,31,31,7.549516567451064e-15,9.992007221626409e-15,PASS
GSE54514,SIG001,T2,28,28,6.772360450213455e-15,8.93729534823251e-15,PASS
GSE54514,SIG001,T3,18,18,3.552713678800501e-15,4.440892098500626e-15,PASS
GSE54514,SIG001,T4,14,14,6.439293542825908e-15,8.43769498715119e-15,PASS
GSE54514,SIG002,T1,31,31,4.440892098500626e-15,3.552713678800501e-15,PASS
GSE54514,SIG002,T2,28,28,4.440892098500626e-15,3.552713678800501e-15,PASS
GSE54514,SIG002,T3,18,18,4.440892098500626e-15,3.497202527569243e-15,PASS
GSE54514,SIG002,T4,14,14,3.552713678800501e-15,2.7755575615628914e-15,PASS
GSE54514,SIG003,T1,31,31,0.0,0.0,PASS
GSE54514,SIG003,T2,28,28,0.0,0.0,PASS
GSE54514,SIG003,T3,18,18,0.0,0.0,PASS
GSE54514,SIG003,T4,14,14,0.0,0.0,PASS
GSE54514,SIG004,T1,31,31,2.7755575615628914e-17,8.881784197001252e-16,PASS
GSE54514,SIG004,T2,28,28,2.7755575615628914e-17,6.661338147750939e-16,PASS
GSE54514,SIG004,T3,18,18,1.3877787807814457e-17,4.440892098500626e-16,PASS
GSE54514,SIG004,T4,14,14,2.7755575615628914e-17,4.440892098500626e-16,PASS
GSE54514,SIG022,T1,31,31,5.384581669432009e-15,5.3013149425851225e-15,PASS
GSE54514,SIG022,T2,28,28,5.995204332975845e-15,5.995204332975845e-15,PASS
GSE54514,SIG022,T3,18,18,7.216449660063518e-15,7.105427357601002e-15,PASS
