dataset,signature_id,time_window,gene,gene_group,paired_n,mean_standardized_contribution,median_standardized_contribution,bootstrap_se,ci95_lower,ci95_upper,positive_fraction,negative_fraction,mean_absolute_contribution,development_overlap_status,analysis_role
GSE236713,SIG001,T1,CEACAM1,UP_GEOMETRIC_MEAN,93,-0.06404727102914629,-0.04814516102160333,0.017101025573573923,-0.09803770471389997,-0.030852784968332964,0.3548387096774194,0.6451612903225806,0.1292267863128009,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG001,T1,ZDHHC19,UP_GEOMETRIC_MEAN,93,-0.12483928731900237,-0.09350574909798563,0.04382037825171687,-0.21426999783968495,-0.04096175922434351,0.41935483870967744,0.5806451612903226,0.3214798824543499,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG001,T1,NMRK1,UP_GEOMETRIC_MEAN,93,-0.005483194089882312,-0.001160957659402747,0.005787125257892923,-0.01700629934434287,0.005922046606124276,0.4838709677419355,0.5161290322580645,0.0397094127855805,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG001,T1,GNA15,UP_GEOMETRIC_MEAN,93,-0.01043300421422546,-0.010211968508031534,0.009650884443067892,-0.02860262966631011,0.008372333497755435,0.44086021505376344,0.5591397849462365,0.06591887008784816,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG001,T1,BATF,UP_GEOMETRIC_MEAN,93,-0.006340934526832122,-0.007473201421436564,0.004122950647329595,-0.01430805193420256,0.0018102233688687046,0.44086021505376344,0.5591397849462365,0.0323262970528966,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG001,T1,C3AR1,UP_GEOMETRIC_MEAN,93,0.005496687130982572,0.004247917547017076,0.006480425458964396,-0.0065305907593907935,0.01924703712027333,0.5053763440860215,0.4946236559139785,0.047958050180366,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG001,T1,FAM214A,DOWN_GEOMETRIC_MEAN,93,-0.014243678148165547,-0.00829562098820552,0.007392656382766658,-0.029824711147003163,-0.0008937248513445072,0.40860215053763443,0.5913978494623656,0.05155770931074223,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG001,T1,TGFBI,DOWN_GEOMETRIC_MEAN,93,-0.028084716394290082,-0.021304340077557347,0.009715293231445652,-0.04709782863983189,-0.009076783450134523,0.43010752688172044,0.5698924731182796,0.0716385596466455,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG001,T1,MTCH1,DOWN_GEOMETRIC_MEAN,93,0.0049053374040193025,0.006608833788016488,0.004637125988161245,-0.0043906763328271205,0.013723908116421187,0.6344086021505376,0.3655913978494624,0.030899761689345755,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
GSE236713,SIG001,T1,RPGRIP1,DOWN_GEOMETRIC_MEAN,93,-0.11326074898095405,-0.08479774619784233,0.024451957361702,-0.16227772793603173,-0.0669301675673311,0.3010752688172043,0.6989247311827957,0.1928509379069995,NO_KNOWN_OVERLAP,PRESPECIFIED_NON_PILOT
