dataset,signature_id,time_window,paired_n,mean_total_delta_z,median_absolute_contribution_sum,median_dominance_ratio,median_cancellation_index,dominant_gene,dominant_gene_patient_n,dominant_gene_patient_fraction
GSE110487,SIG001,T2,31,-1.3107917651278518,1.7638241907953087,0.2888664584006327,0.11478975713639539,ZDHHC19,12,0.3870967741935484
GSE110487,SIG002,T2,31,-0.6233480169703265,1.842990169674626,0.49857055841176584,0.5091301611515724,PLAC8,17,0.5483870967741935
GSE110487,SIG003,T2,31,-0.7868559868794359,1.084360185547796,0.6841495731006435,0.0,PLAC8,16,0.5161290322580645
GSE110487,SIG004,T2,31,0.9322148605921698,1.1218390273863532,0.5667379271699606,0.0,NLRP1,15,0.4838709677419355
GSE110487,SIG022,T2,31,0.5634089336759797,1.1588944268871038,0.3153509077512721,0.44539281577600576,JUP,11,0.3548387096774194
GSE110487,SIG023,T2,31,-0.26800068679926037,0.5924853283778598,0.6882284295729851,0.029046923806353098,IFI44L,17,0.5483870967741935
GSE110487,SIG033,T2,31,0.1763836941232021,1.9717688338759456,0.31882097418105415,0.7302580545398476,CXCR6,13,0.41935483870967744
GSE110487,SIG034,T2,31,-0.21653473980379503,2.8994720757220853,0.09816960262354338,0.7734744031200139,CCL2,8,0.25806451612903225
GSE236713,SIG001,T1,93,-0.3671599918304721,0.9691456692779713,0.36261036552272546,0.45372278861849924,ZDHHC19,47,0.5053763440860215
GSE236713,SIG001,T4,68,-0.8066189040717807,1.2124377684127134,0.36257363102156576,0.3893020794496262,ZDHHC19,48,0.7058823529411765
GSE236713,SIG002,T1,93,-0.05623470998852447,1.1619790679647786,0.4838266039757907,0.6943895349797609,PLA2G7,47,0.5053763440860215
GSE236713,SIG002,T4,68,-0.13705080570047676,1.6994285317367552,0.4940546109527748,0.6292612795385466,PLA2G7,30,0.4411764705882353
GSE236713,SIG003,T1,93,-0.1534641773804949,0.8144062972957766,0.7362439819353574,0.0,FAIM3,47,0.5053763440860215
GSE236713,SIG003,T4,68,-0.6019395728605299,1.0971093724502545,0.696847553792787,0.0,PLAC8,40,0.5882352941176471
GSE236713,SIG004,T1,93,0.1206989910054785,0.7364810143614515,0.6730938660583516,0.1748846366173964,IDNK,50,0.5376344086021505
GSE236713,SIG004,T4,68,0.3621844920318702,1.0387797399197778,0.7212668548183625,0.045164898806921316,NLRP1,34,0.5
GSE236713,SIG022,T1,93,0.007560734455935865,0.7862878366482232,0.4073341076205259,0.44754935717976063,IFI27,55,0.5913978494623656
GSE236713,SIG022,T4,68,0.20545357258436148,1.0788557057127757,0.3853611863592548,0.5127890620672919,IFI27,41,0.6029411764705882
GSE236713,SIG023,T1,93,-0.056010223761697724,0.4003040198623482,0.7315086417360088,0.0,IFI44L,68,0.7311827956989247
GSE236713,SIG023,T4,68,-0.2365135349368213,0.7101543045736256,0.7471888712077674,0.0,IFI44L,52,0.7647058823529411
GSE236713,SIG033,T1,93,-0.14503159437044674,1.265453579111289,0.3646809040130587,0.6405505660541357,CXCR6,50,0.5376344086021505
