signature_id,time_window,gene,omitted_dataset,cohort_n,pooled_contribution,ci95_lower,ci95_upper,tau2,I2_percent
SIG001,T1,CEACAM1,GSE236713,3,-0.16968503914337604,-0.4828278486175085,0.14345777033075638,0.014017604177864644,88.25406703745428
SIG001,T1,CEACAM1,GSE57065,3,-0.09094716671158405,-0.2691883626257855,0.08729402920261738,0.003597306324742019,72.49374214502792
SIG001,T1,CEACAM1,GSE95233,3,-0.1289428770811747,-0.4695336786353806,0.2116479244730312,0.017031117776621984,91.28828147450407
SIG001,T1,CEACAM1,GSE54514,3,-0.17347993697866937,-0.45822003056743377,0.11126015661009503,0.012017754077355435,92.11963741671507
SIG001,T1,ZDHHC19,GSE236713,3,-0.006435932509457925,-0.2846080195545049,0.2717361545355891,0.00697419654267988,61.132523162389305
SIG001,T1,ZDHHC19,GSE57065,3,-0.06938449847631975,-0.36956924847962325,0.23080025152698377,0.010819102684213978,75.37884842110016
SIG001,T1,ZDHHC19,GSE95233,3,-0.07549126133892049,-0.32798801084421064,0.17700548816636968,0.007608714486446301,74.22045906393858
SIG001,T1,ZDHHC19,GSE54514,3,-0.013555921937588079,-0.2649244039150645,0.23781256003988832,0.007977022572492349,78.05611012506101
SIG001,T1,NMRK1,GSE236713,3,-0.014432998783842816,-0.07693864345335107,0.04807264588566544,0.00025938619062461956,31.25720991113303
SIG001,T1,NMRK1,GSE57065,3,-0.012987536854305093,-0.05861111932336177,0.032636045614751585,0.0001662355691116394,38.38977580818793
SIG001,T1,NMRK1,GSE95233,3,-0.011289380764989702,-0.05766832032122077,0.03508955879124136,0.00014056548716295895,42.59555814957541
SIG001,T1,NMRK1,GSE54514,3,-0.00456504456243566,-0.012898759190049021,0.003768670065177699,0.0,0.0
SIG001,T1,GNA15,GSE236713,3,-0.02735299105130933,-0.13285169114761877,0.07814570904500011,0.0014141213920131394,75.64442518126918
SIG001,T1,GNA15,GSE57065,3,-0.008030719394162911,-0.030090796802640395,0.014029358014314574,0.0,0.0
SIG001,T1,GNA15,GSE95233,3,-0.024183275073894034,-0.1248152748805782,0.07644872473279013,0.001307465937402048,82.23690733069631
SIG001,T1,GNA15,GSE54514,3,-0.03204916495481187,-0.11551524709421655,0.051416917184592806,0.0009005454002863801,78.68782518395669
SIG001,T1,BATF,GSE236713,3,-0.03553838605274443,-0.0532391777857435,-0.01783759431974537,0.0,0.0
SIG001,T1,BATF,GSE57065,3,-0.007250682943605185,-0.02065192718395455,0.00615056129674418,0.0,0.0
SIG001,T1,BATF,GSE95233,3,-0.019617413941888068,-0.0663659766429072,0.02713114875913107,0.0002712596856255046,54.82587752226971
