dataset,platform,pathway,tier,source,reference_gene_count,mapped_gene_count,coverage_fraction,coverage_threshold_fraction,coverage_threshold_count,compatible
GSE236713,GPL17077,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,188,0.94,0.7,10,YES
GSE236713,GPL17077,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,MSigDB_HALLMARK_2026.1.Hs,200,195,0.975,0.7,10,YES
GSE236713,GPL17077,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,101,97,0.9603960396039604,0.7,10,YES
GSE236713,GPL17077,HALLMARK_ANGIOGENESIS,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,36,36,1.0,0.7,10,YES
GSE236713,GPL17077,HALLMARK_APICAL_JUNCTION,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,192,0.96,0.7,10,YES
GSE236713,GPL17077,HALLMARK_APICAL_SURFACE,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,44,43,0.9772727272727272,0.7,10,YES
GSE236713,GPL17077,HALLMARK_APOPTOSIS,PRESET_PRIMARY,MSigDB_HALLMARK_2026.1.Hs,161,158,0.9813664596273292,0.7,10,YES
GSE236713,GPL17077,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,112,111,0.9910714285714286,0.7,10,YES
GSE236713,GPL17077,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,74,72,0.972972972972973,0.7,10,YES
GSE236713,GPL17077,HALLMARK_COAGULATION,PRESET_PRIMARY,MSigDB_HALLMARK_2026.1.Hs,138,136,0.9855072463768116,0.7,10,YES
GSE236713,GPL17077,HALLMARK_COMPLEMENT,PRESET_PRIMARY,MSigDB_HALLMARK_2026.1.Hs,200,194,0.97,0.7,10,YES
GSE236713,GPL17077,HALLMARK_DNA_REPAIR,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,150,139,0.9266666666666666,0.7,10,YES
GSE236713,GPL17077,HALLMARK_E2F_TARGETS,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,194,0.97,0.7,10,YES
GSE236713,GPL17077,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,195,0.975,0.7,10,YES
GSE236713,GPL17077,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,192,0.96,0.7,10,YES
GSE236713,GPL17077,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,192,0.96,0.7,10,YES
GSE236713,GPL17077,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,158,154,0.9746835443037974,0.7,10,YES
GSE236713,GPL17077,HALLMARK_G2M_CHECKPOINT,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,189,0.945,0.7,10,YES
GSE236713,GPL17077,HALLMARK_GLYCOLYSIS,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,196,0.98,0.7,10,YES
GSE236713,GPL17077,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,36,35,0.9722222222222222,0.7,10,YES
GSE236713,GPL17077,HALLMARK_HEME_METABOLISM,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,191,0.955,0.7,10,YES
GSE236713,GPL17077,HALLMARK_HYPOXIA,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,191,0.955,0.7,10,YES
GSE236713,GPL17077,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,199,193,0.9698492462311558,0.7,10,YES
GSE236713,GPL17077,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,87,87,1.0,0.7,10,YES
GSE236713,GPL17077,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,MSigDB_HALLMARK_2026.1.Hs,200,197,0.985,0.7,10,YES
GSE236713,GPL17077,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,MSigDB_HALLMARK_2026.1.Hs,97,92,0.9484536082474226,0.7,10,YES
GSE236713,GPL17077,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,MSigDB_HALLMARK_2026.1.Hs,200,193,0.965,0.7,10,YES
GSE236713,GPL17077,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,187,0.935,0.7,10,YES
GSE236713,GPL17077,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,193,0.965,0.7,10,YES
GSE236713,GPL17077,HALLMARK_MITOTIC_SPINDLE,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,199,196,0.984924623115578,0.7,10,YES
GSE236713,GPL17077,HALLMARK_MTORC1_SIGNALING,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,193,0.965,0.7,10,YES
GSE236713,GPL17077,HALLMARK_MYC_TARGETS_V1,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,192,0.96,0.7,10,YES
GSE236713,GPL17077,HALLMARK_MYC_TARGETS_V2,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,58,57,0.9827586206896552,0.7,10,YES
GSE236713,GPL17077,HALLMARK_MYOGENESIS,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,197,0.985,0.7,10,YES
GSE236713,GPL17077,HALLMARK_NOTCH_SIGNALING,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,32,32,1.0,0.7,10,YES
GSE236713,GPL17077,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,MSigDB_HALLMARK_2026.1.Hs,200,183,0.915,0.7,10,YES
GSE236713,GPL17077,HALLMARK_P53_PATHWAY,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,192,0.96,0.7,10,YES
GSE236713,GPL17077,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,40,40,1.0,0.7,10,YES
GSE236713,GPL17077,HALLMARK_PEROXISOME,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,104,102,0.9807692307692308,0.7,10,YES
GSE236713,GPL17077,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,105,104,0.9904761904761904,0.7,10,YES
GSE236713,GPL17077,HALLMARK_PROTEIN_SECRETION,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,96,95,0.9895833333333334,0.7,10,YES
GSE236713,GPL17077,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,49,46,0.9387755102040816,0.7,10,YES
GSE236713,GPL17077,HALLMARK_SPERMATOGENESIS,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,135,131,0.9703703703703704,0.7,10,YES
GSE236713,GPL17077,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,54,54,1.0,0.7,10,YES
GSE236713,GPL17077,HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRESET_PRIMARY,MSigDB_HALLMARK_2026.1.Hs,200,196,0.98,0.7,10,YES
GSE236713,GPL17077,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,113,105,0.9292035398230089,0.7,10,YES
GSE236713,GPL17077,HALLMARK_UV_RESPONSE_DN,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,144,137,0.9513888888888888,0.7,10,YES
GSE236713,GPL17077,HALLMARK_UV_RESPONSE_UP,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,158,150,0.9493670886075948,0.7,10,YES
GSE236713,GPL17077,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,42,42,1.0,0.7,10,YES
GSE236713,GPL17077,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_SECONDARY,MSigDB_HALLMARK_2026.1.Hs,200,195,0.975,0.7,10,YES
GSE236713,GPL17077,Cross-presentation of particulate exogenous antigens (phagosomes),REACTOME_SUPPLEMENT,REACTOME_CURRENT_2026-07-16,8,8,1.0,0.7,10,NO
GSE236713,GPL17077,Neutrophil degranulation,REACTOME_SUPPLEMENT,REACTOME_CURRENT_2026-07-16,478,456,0.9539748953974896,0.7,10,YES
