dataset,time_window,time_label,pathway,tier,paired_n,mean_delta_z,median_delta_z,se_delta_z,bootstrap_ci_low,bootstrap_ci_high,proportion_increasing,mean_ssgsea_delta_z,se_ssgsea_delta_z,p_value,fdr_within_dataset_window_tier
GSE110487,T2,T48,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,31,-0.3116897370185799,-0.27178045848497423,0.2042311404811015,-0.7176536055846316,0.08338964715083703,0.41935483870967744,-0.34816171246742705,0.20811448267330948,0.12696960837688917,0.37183956738946117
GSE110487,T2,T48,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,31,0.5510378891883526,0.5918821840436869,0.16974698810693958,0.19992560823156247,0.8471940460835661,0.8064516129032258,0.6474738949775338,0.18835861880196797,0.0011694401795450432,0.007243485076495072
GSE110487,T2,T48,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,31,-0.1735343468640486,-0.22946512841525715,0.15070731424731343,-0.48561694226647417,0.11891269654670521,0.41935483870967744,-0.12361695373601549,0.16345641933561356,0.24954057897915638,0.48719827324501963
GSE110487,T2,T48,HALLMARK_ANGIOGENESIS,HALLMARK_SECONDARY,31,-0.2967068827403624,-0.14704103509974706,0.20213373609562152,-0.6935052073552601,0.095140333672186,0.41935483870967744,-0.34226221476860097,0.20273667565504738,0.14213841553778145,0.3885116691366026
GSE110487,T2,T48,HALLMARK_APICAL_JUNCTION,HALLMARK_SECONDARY,31,-0.044319699183455664,0.06127524683985113,0.1444562896617302,-0.34206431905711693,0.22652479754775123,0.5806451612903226,-0.07308460159243345,0.15485874433430902,0.7589929234021231,0.8671925940764894
GSE110487,T2,T48,HALLMARK_APICAL_SURFACE,HALLMARK_SECONDARY,31,0.18885532718959513,0.3258238488386372,0.18732164517261968,-0.1699699096763375,0.5378744216265264,0.6451612903225806,0.18578391000302513,0.21576940652453558,0.31336449336514005,0.583997464907761
GSE110487,T2,T48,HALLMARK_APOPTOSIS,PRESET_PRIMARY,31,-0.17897838727446838,-0.11595371413924399,0.24232342883787308,-0.6233361495304336,0.29454817171965647,0.41935483870967744,-0.20082895092153302,0.20544852636319466,0.46015417860320795,0.5437011358361912
GSE110487,T2,T48,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_SECONDARY,31,-0.021268621213297943,0.010909512535774577,0.1448449892936993,-0.29966905724351944,0.2425427085369098,0.5161290322580645,0.03204084592914073,0.16280054359372195,0.8832605839504595,0.8833742944298602
GSE110487,T2,T48,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_SECONDARY,31,-0.5184273009117797,-0.7095255334322501,0.19927463803711787,-0.893396990861422,-0.1234576987487793,0.25806451612903225,-0.487969779030215,0.17425640489571892,0.009279760767792808,0.12682339715983504
GSE110487,T2,T48,HALLMARK_COAGULATION,PRESET_PRIMARY,31,-0.2895564595339304,-0.4148914341249936,0.15585836509224482,-0.5890722642582027,0.011354642757069927,0.3225806451612903,-0.2752013851935461,0.18742025947567512,0.06319487921250568,0.12025652358043393
GSE110487,T2,T48,HALLMARK_COMPLEMENT,PRESET_PRIMARY,31,-0.1136655775161381,0.01861852172875,0.16214289526154388,-0.43107821314680367,0.20482076166473706,0.5161290322580645,-0.1284904185151182,0.17489834182933373,0.48328989852105886,0.5437011358361912
GSE110487,T2,T48,HALLMARK_DNA_REPAIR,HALLMARK_SECONDARY,31,0.3792640064636145,0.5220727406005747,0.2338650833205409,-0.08554956259531189,0.8499510888580596,0.6451612903225806,0.41851773790017754,0.23413621436953355,0.10486301811482399,0.37183956738946117
GSE110487,T2,T48,HALLMARK_E2F_TARGETS,HALLMARK_SECONDARY,31,0.32236047122932665,0.32475528842614804,0.18686264919955012,-0.03887805169447316,0.6661654335688547,0.5806451612903226,0.33622394868373123,0.18522049655738432,0.08450587030096031,0.37183956738946117
GSE110487,T2,T48,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_SECONDARY,31,-0.2524909034618983,-0.12562753522314082,0.14537668801498305,-0.5492981732152816,0.019238329645977603,0.45161290322580644,-0.28046762435548106,0.17819332689051345,0.0824216632176892,0.37183956738946117
GSE110487,T2,T48,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_SECONDARY,31,-0.06077756283315224,0.029160783538709063,0.14191008759278884,-0.32386200334439547,0.22500278258170534,0.5161290322580645,-0.11369515552253508,0.14899176919362359,0.668445685271513,0.8555009808771806
GSE110487,T2,T48,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_SECONDARY,31,-0.1829655560270417,-0.09159831402750238,0.13966894726989823,-0.44869378684676225,0.07510184111450098,0.41935483870967744,-0.2226285153260903,0.1544184865353533,0.19019768826047034,0.4587120716870167
GSE110487,T2,T48,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_SECONDARY,31,-0.020276801668137077,0.11117197176521762,0.13822604339506234,-0.2929765227941047,0.2439645960759774,0.5161290322580645,-0.0915328240753831,0.18639612007741818,0.8833742944298602,0.8833742944298602
GSE110487,T2,T48,HALLMARK_G2M_CHECKPOINT,HALLMARK_SECONDARY,31,0.06425310736405461,0.3076520906406323,0.1731171717645701,-0.2721656863395141,0.39341282626154506,0.5806451612903226,0.06757571609094283,0.17777798931420946,0.710522933302401,0.8568070666293659
GSE110487,T2,T48,HALLMARK_GLYCOLYSIS,HALLMARK_SECONDARY,31,0.07389401484038825,0.3295760448414984,0.18069231636517316,-0.2603383966065432,0.420582153001962,0.5806451612903226,0.001195377167226515,0.2131059561344956,0.6825767930974214,0.8555009808771806
GSE110487,T2,T48,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_SECONDARY,31,-0.18613158241977937,-0.34405808294293055,0.1519370921072217,-0.47207982930248044,0.11809235932852019,0.3548387096774194,-0.23013196156371496,0.15993602947908792,0.22055378425342798,0.48719827324501963
GSE110487,T2,T48,HALLMARK_HEME_METABOLISM,HALLMARK_SECONDARY,31,-0.2456637429075537,-0.22815076218756455,0.1501501248318017,-0.542790297476527,0.044379495597759715,0.3225806451612903,-0.2228054853434523,0.14654810381550698,0.10181430702351627,0.37183956738946117
GSE110487,T2,T48,HALLMARK_HYPOXIA,HALLMARK_SECONDARY,31,-0.06254867058367558,-0.06442978763090564,0.15606303773575425,-0.3656312929204357,0.2421001488045587,0.45161290322580644,-0.11163788356311198,0.197333872568032,0.6885739602182186,0.8555009808771806
GSE110487,T2,T48,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_SECONDARY,31,-0.24750602540574548,-0.19099671291037507,0.17304273370649748,-0.5876712393528184,0.08758240279434772,0.45161290322580644,-0.33174395470783696,0.1811085904444612,0.15262595558717115,0.39110401119212607
GSE110487,T2,T48,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_SECONDARY,31,-0.48258176419836246,-0.27134360575808286,0.20046713669859234,-0.8826115273867271,-0.120663042812699,0.3548387096774194,-0.5638392978118066,0.19047102711749292,0.01607157109145048,0.1394692122701416
GSE110487,T2,T48,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,31,-0.44456639964376016,-0.5310142625861762,0.21871798743421364,-0.9043819049311299,-0.035431769661587925,0.41935483870967744,-0.46900720549425073,0.22464844801512165,0.04209285055664755,0.12025652358043393
GSE110487,T2,T48,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,31,0.13884425589343816,0.13310527841654937,0.15491914406861576,-0.14951295074148416,0.45285854037741535,0.5806451612903226,0.18995691015129107,0.14767047687843105,0.37012624331715627,0.5437011358361912
GSE110487,T2,T48,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,31,0.29629127670639627,0.11822082523910735,0.1616467320522616,-0.020690584494321825,0.6059056496239152,0.6451612903225806,0.3151559321839957,0.15332448211885513,0.06680917976690774,0.12025652358043393
GSE110487,T2,T48,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_SECONDARY,31,-0.055657084325402506,-0.016020974497264636,0.11746692253595642,-0.2889782914166173,0.1791079993774504,0.45161290322580644,-0.05627694944194383,0.1445685447594503,0.6356349065288309,0.8555009808771806
GSE110487,T2,T48,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_SECONDARY,31,-0.3432681648912535,-0.08914385172613982,0.14804198281076347,-0.6493278668352818,-0.07783016043572245,0.41935483870967744,-0.3736658800721442,0.1878306892101986,0.02041012862489877,0.1394692122701416
GSE110487,T2,T48,HALLMARK_MITOTIC_SPINDLE,HALLMARK_SECONDARY,31,-0.19714583944962738,-0.13930729496732422,0.16805430924314177,-0.5220772139492411,0.12005096994642327,0.45161290322580644,-0.25767487421889157,0.15462440575951378,0.24075253495693405,0.48719827324501963
GSE110487,T2,T48,HALLMARK_MTORC1_SIGNALING,HALLMARK_SECONDARY,31,-0.33268999251827025,-0.12157979090324765,0.21158629185986993,-0.754289647648136,0.09840503420338077,0.41935483870967744,-0.27897339938980337,0.22147516743561402,0.1158668984151101,0.37183956738946117
GSE110487,T2,T48,HALLMARK_MYC_TARGETS_V1,HALLMARK_SECONDARY,31,0.4468029003791373,0.8440140787753704,0.21657935405535308,0.05077466644140265,0.8319352541831678,0.6451612903225806,0.45929857289488457,0.21709717318966504,0.039112762871242414,0.22908903967441985
GSE110487,T2,T48,HALLMARK_MYC_TARGETS_V2,HALLMARK_SECONDARY,31,0.6010753175224962,0.8332461831040804,0.20328365828737327,0.20960080896130728,0.9639689058189421,0.7419354838709677,0.6486274315948688,0.19928810031745578,0.003108189460494987,0.06371788394014724
GSE110487,T2,T48,HALLMARK_MYOGENESIS,HALLMARK_SECONDARY,31,-0.05841857089840111,0.10843729598253099,0.13592333620763927,-0.32618808848576764,0.18877087948047633,0.5483870967741935,-0.05340082586380144,0.16767404654521031,0.6673479783914484,0.8555009808771806
GSE110487,T2,T48,HALLMARK_NOTCH_SIGNALING,HALLMARK_SECONDARY,31,0.13361680113920113,0.07247253976813468,0.18476425699272958,-0.22577344569994315,0.4835818233303008,0.5483870967741935,0.2406544288812777,0.1638179226524399,0.4695726766264928,0.7553251665954641
GSE110487,T2,T48,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,31,-0.06282519760917353,0.24320774787092386,0.19420217041102938,-0.45622114466072405,0.2841042050577522,0.6129032258064516,-0.06986577336776868,0.20064334150556634,0.7463135058929617,0.7463135058929617
