time_window,pathway,tier,omitted_dataset,remaining_cohorts,pooled_delta_z,ci_low,ci_high
T1,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,GSE236713,3,0.07180533893712597,-0.13466786918385026,0.2782785470581022
T1,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,GSE54514,3,0.19640906315477347,0.005421118582913914,0.387397007726633
T1,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,GSE57065,3,0.2008570236074102,-0.05055274456095449,0.4522667917757749
T1,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,GSE95233,3,0.17979371932494728,-0.09817763686693684,0.45776507551683143
T1,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,GSE236713,3,0.20207435025634543,-0.6320884728147618,1.0362371733274527
T1,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,GSE54514,3,0.15861809908841995,-0.3080783803834112,0.6253145785602511
T1,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,GSE57065,3,0.30642897983058515,-0.026178847263557736,0.6390368069247281
T1,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,GSE95233,3,0.246594766633206,-0.5015076505051482,0.9946971837715602
T1,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,GSE236713,3,0.0063047095201959275,-0.5077336065551779,0.5203430255955697
T1,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,GSE54514,3,0.15709558971817406,-0.18561463610412893,0.49980581554047704
T1,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,GSE57065,3,0.048717917501977626,-0.43691906299704225,0.5343548980009976
T1,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,GSE95233,3,0.16676924727076212,-0.18854745737752535,0.5220859519190496
T1,HALLMARK_ANGIOGENESIS,HALLMARK_SECONDARY,GSE236713,2,-0.5215887561776589,-2.2473366419928467,1.204159129637529
T1,HALLMARK_ANGIOGENESIS,HALLMARK_SECONDARY,GSE57065,2,-0.3499852815385506,-4.457066587546279,3.757096024469178
T1,HALLMARK_ANGIOGENESIS,HALLMARK_SECONDARY,GSE95233,2,-0.21651633208072601,-2.5131450901210504,2.0801124259595984
