dataset,signature_id,time_window,time_label,pathway,tier,pathway_method,paired_n,spearman_rho,p_value,fisher_z,fisher_z_se,overlap_status,primary_independent_rule,fdr_within_dataset_signature_window_tier
GSE110487,SIG001,T2,T48,HALLMARK_ADIPOGENESIS,HALLMARK_SECONDARY,SINGSCORE,31,-0.18870967741935485,0.30930312482867456,-0.1909988610447987,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SINGSCORE,31,-0.23024193548387098,0.21273653808139606,-0.23444493049546103,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.6382096142441882
GSE110487,SIG001,T2,T48,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_SECONDARY,SINGSCORE,31,-0.14274193548387099,0.4436590974387419,-0.14372343067436627,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_ANGIOGENESIS,HALLMARK_SECONDARY,SINGSCORE,31,0.06975806451612904,0.7092300152993535,0.069871547981993,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_APICAL_JUNCTION,HALLMARK_SECONDARY,SINGSCORE,31,0.014516129032258067,0.9382218324805423,0.014517148764422602,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_APICAL_SURFACE,HALLMARK_SECONDARY,SINGSCORE,31,-0.29637096774193555,0.10546406037100456,-0.30553640101759616,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SINGSCORE,31,0.25080645161290327,0.17354064495935093,0.2562732121813502,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.6382096142441882
GSE110487,SIG001,T2,T48,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_SECONDARY,SINGSCORE,31,0.10564516129032257,0.5716506341346818,0.10604084610597367,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_SECONDARY,SINGSCORE,31,0.17056451612903226,0.3589410837099465,0.17224803718583637,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9382218324805423
GSE110487,SIG001,T2,T48,HALLMARK_COAGULATION,PRESET_PRIMARY,SINGSCORE,31,0.12258064516129034,0.5112209001524455,0.12320020673923854,0.1889822365046136,NO_KNOWN_OVERLAP,INCLUDE_PRIMARY_INDEPENDENT,0.9279501281173965
