file,format,bytes,status,editable_text_nodes,svg_text_status
04_07_gene_contribution_forest_plots/SIG001_T48_gene_contributions.pdf,pdf,44098,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG001_T48_gene_contributions.png,png,86749,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG001_T48_gene_contributions.svg,svg,14655,PRESENT_NONEMPTY,20.0,PASS
04_07_gene_contribution_forest_plots/SIG001_T48_gene_contributions.tiff,tiff,411342,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG002_T48_gene_contributions.pdf,pdf,41758,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG002_T48_gene_contributions.png,png,69807,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG002_T48_gene_contributions.svg,svg,10276,PRESENT_NONEMPTY,15.0,PASS
04_07_gene_contribution_forest_plots/SIG002_T48_gene_contributions.tiff,tiff,339946,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG003_T48_gene_contributions.pdf,pdf,42243,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG003_T48_gene_contributions.png,png,63358,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG003_T48_gene_contributions.svg,svg,8633,PRESENT_NONEMPTY,14.0,PASS
04_07_gene_contribution_forest_plots/SIG003_T48_gene_contributions.tiff,tiff,327428,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG004_T48_gene_contributions.pdf,pdf,41138,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG004_T48_gene_contributions.png,png,60613,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG004_T48_gene_contributions.svg,svg,8617,PRESENT_NONEMPTY,12.0,PASS
04_07_gene_contribution_forest_plots/SIG004_T48_gene_contributions.tiff,tiff,321238,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG022_T48_gene_contributions.pdf,pdf,44615,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG022_T48_gene_contributions.png,png,73457,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG022_T48_gene_contributions.svg,svg,11849,PRESENT_NONEMPTY,16.0,PASS
04_07_gene_contribution_forest_plots/SIG022_T48_gene_contributions.tiff,tiff,348734,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG023_T48_gene_contributions.pdf,pdf,40191,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG023_T48_gene_contributions.png,png,61860,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG023_T48_gene_contributions.svg,svg,7407,PRESENT_NONEMPTY,10.0,PASS
04_07_gene_contribution_forest_plots/SIG023_T48_gene_contributions.tiff,tiff,324824,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG033_T48_gene_contributions.pdf,pdf,44087,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG033_T48_gene_contributions.png,png,78025,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG033_T48_gene_contributions.svg,svg,12687,PRESENT_NONEMPTY,18.0,PASS
04_07_gene_contribution_forest_plots/SIG033_T48_gene_contributions.tiff,tiff,359686,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG034_T48_gene_contributions.pdf,pdf,54782,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG034_T48_gene_contributions.png,png,179927,PRESENT_NONEMPTY,,
04_07_gene_contribution_forest_plots/SIG034_T48_gene_contributions.svg,svg,40240,PRESENT_NONEMPTY,51.0,PASS
04_07_gene_contribution_forest_plots/SIG034_T48_gene_contributions.tiff,tiff,947368,PRESENT_NONEMPTY,,
04_12_signature_pathway_heatmap.pdf,pdf,45626,PRESENT_NONEMPTY,,
04_12_signature_pathway_heatmap.png,png,226685,PRESENT_NONEMPTY,,
04_12_signature_pathway_heatmap.svg,svg,29669,PRESENT_NONEMPTY,99.0,PASS
04_12_signature_pathway_heatmap.tiff,tiff,2012722,PRESENT_NONEMPTY,,
04_14_gene_contribution_cell_source_map.pdf,pdf,58450,PRESENT_NONEMPTY,,
04_14_gene_contribution_cell_source_map.png,png,161799,PRESENT_NONEMPTY,,
04_14_gene_contribution_cell_source_map.svg,svg,71940,PRESENT_NONEMPTY,31.0,PASS
04_14_gene_contribution_cell_source_map.tiff,tiff,760788,PRESENT_NONEMPTY,,
04_figures/Figure_4A_drift_and_gene_contributions.pdf,pdf,48695,PRESENT_NONEMPTY,,
04_figures/Figure_4A_drift_and_gene_contributions.png,png,170299,PRESENT_NONEMPTY,,
04_figures/Figure_4A_drift_and_gene_contributions.svg,svg,32163,PRESENT_NONEMPTY,42.0,PASS
04_figures/Figure_4A_drift_and_gene_contributions.tiff,tiff,802440,PRESENT_NONEMPTY,,
04_figures/Figure_4B_dominance_cancellation.pdf,pdf,41379,PRESENT_NONEMPTY,,
04_figures/Figure_4B_dominance_cancellation.png,png,123346,PRESENT_NONEMPTY,,
04_figures/Figure_4B_dominance_cancellation.svg,svg,19776,PRESENT_NONEMPTY,29.0,PASS
04_figures/Figure_4B_dominance_cancellation.tiff,tiff,569814,PRESENT_NONEMPTY,,
04_figures/Figure_5_gene_pathway_cell_integration.pdf,pdf,52795,PRESENT_NONEMPTY,,
04_figures/Figure_5_gene_pathway_cell_integration.png,png,319217,PRESENT_NONEMPTY,,
04_figures/Figure_5_gene_pathway_cell_integration.svg,svg,60455,PRESENT_NONEMPTY,137.0,PASS
04_figures/Figure_5_gene_pathway_cell_integration.tiff,tiff,2499178,PRESENT_NONEMPTY,,
04_figures/Figure_6_context_of_use_evidence_boundary.pdf,pdf,40922,PRESENT_NONEMPTY,,
04_figures/Figure_6_context_of_use_evidence_boundary.png,png,211994,PRESENT_NONEMPTY,,
04_figures/Figure_6_context_of_use_evidence_boundary.svg,svg,10379,PRESENT_NONEMPTY,23.0,PASS
04_figures/Figure_6_context_of_use_evidence_boundary.tiff,tiff,1215060,PRESENT_NONEMPTY,,
