dataset,signature_id,matrix_samples,manifest_samples,scored_samples,score_missing_n,score_unique_n,constant_score,score_min,score_max,manual_checks_passed,manual_checks_total,status
GSE236713,SIG001,447,447,447,0,447,NO,-3.2855584675278573,4.022678836756919,5,5,PASS
GSE236713,SIG002,447,447,447,0,447,NO,0.3613450276274061,12.514477683712496,5,5,PASS
GSE236713,SIG003,447,447,447,0,447,NO,-1.4788980158621827,-0.6662246606934759,5,5,PASS
GSE236713,SIG004,447,447,447,0,447,NO,-0.4364078474948732,0.5311368350602932,5,5,PASS
GSE236713,SIG022,447,447,447,0,447,NO,-8.058383987307126,-0.5891988562427013,5,5,PASS
GSE236713,SIG023,447,447,447,0,447,NO,-6.4434816886523,7.622572382949668,5,5,PASS
GSE236713,SIG033,447,447,447,0,447,NO,-24.899800060102407,-17.453031274094588,5,5,PASS
GSE236713,SIG034,447,447,447,0,447,NO,0.6815820819948996,1.290212898118973,5,5,PASS
GSE57065,SIG001,107,107,107,0,107,NO,0.0245138136514881,4.035428040191753,5,5,PASS
GSE57065,SIG002,107,107,107,0,107,NO,4.974644999999997,10.48592,5,5,PASS
GSE57065,SIG003,107,107,107,0,107,NO,-1.0069003179226232,-0.4344286522359164,5,5,PASS
GSE57065,SIG004,107,107,107,0,107,NO,-0.2473283221273702,0.1128960811748812,5,5,PASS
GSE57065,SIG022,107,107,107,0,107,NO,-4.4812557035373715,-1.0153656017557946,5,5,PASS
GSE57065,SIG023,107,107,107,0,107,NO,-6.5042599999999995,5.44441,5,5,PASS
GSE57065,SIG033,107,107,107,0,107,NO,-16.7844857465,-12.382925519,5,5,PASS
GSE57065,SIG034,107,107,107,0,107,NO,0.737788622044447,1.4456427241239502,5,5,PASS
GSE95233,SIG001,124,124,124,0,124,NO,-0.6381167311552165,3.6344726700889702,5,5,PASS
GSE95233,SIG002,124,124,124,0,124,NO,6.245745662500002,12.035143694999997,5,5,PASS
GSE95233,SIG003,124,124,124,0,124,NO,-1.0310515952883887,-0.4541404234019634,5,5,PASS
GSE95233,SIG004,124,124,124,0,124,NO,-0.2993157314134084,0.0373817668547318,5,5,PASS
GSE95233,SIG022,124,124,124,0,124,NO,-3.373567925224184,-0.7929337622532246,5,5,PASS
GSE95233,SIG023,124,124,124,0,124,NO,-2.97798855,7.487334110000001,5,5,PASS
GSE95233,SIG033,124,124,124,0,124,NO,-17.8242324927325,-14.2313985964825,5,5,PASS
GSE95233,SIG034,124,124,124,0,124,NO,0.8061766575129401,1.3983870398544227,5,5,PASS
GSE54514,SIG001,163,163,163,0,163,NO,0.3200852770346261,3.2237009783208883,5,5,PASS
GSE54514,SIG002,163,163,163,0,163,NO,4.681730275500002,10.166817184,5,5,PASS
GSE54514,SIG003,163,163,163,0,163,NO,-1.092634021130958,-0.5612462538469801,5,5,PASS
GSE54514,SIG004,163,163,163,0,163,NO,-0.236130249951401,-0.0054147409940722,5,5,PASS
GSE54514,SIG022,163,163,163,0,163,NO,-2.933154318654238,0.940565108375047,5,5,PASS
GSE54514,SIG023,163,163,163,0,163,NO,-5.0514427387500005,2.0360279102499996,5,5,PASS
GSE54514,SIG033,163,163,163,0,163,NO,-17.0711866095808,-13.8478160005295,5,5,PASS
GSE54514,SIG034,163,163,163,0,163,NO,0.9928170026264832,1.2682537097158246,5,5,PASS
GSE110487,SIG001,62,62,62,0,62,NO,-0.4500841930539199,4.110558467934852,5,5,PASS
GSE110487,SIG002,62,62,62,0,62,NO,3.5091454979093584,12.345338268496407,5,5,PASS
GSE110487,SIG003,62,62,62,0,62,NO,-0.7319766433343341,-0.3077146761716781,5,5,PASS
GSE110487,SIG004,62,62,62,0,62,NO,-0.1692081329075343,0.508953777026579,5,5,PASS
GSE110487,SIG022,62,62,62,0,62,NO,-7.817591179809901,-2.472392403893865,5,5,PASS
GSE110487,SIG023,62,62,62,0,62,NO,-7.596728317154519,4.932186412659091,5,5,PASS
GSE110487,SIG033,62,62,62,0,62,NO,-20.821413950244914,-16.043208912219,5,5,PASS
GSE110487,SIG034,62,62,62,0,62,NO,1.015654035928789,1.392585042011695,5,5,PASS
GSE8121,SIG001,75,75,75,0,75,NO,-0.1475208019014737,5.65024649011418,5,5,PASS
GSE8121,SIG002,75,75,75,0,75,NO,-2.235751945,3.543080655,5,5,PASS
GSE8121,SIG003,75,75,75,0,75,NO,-2.282733571509803,-0.0544739623496322,5,5,PASS
GSE8121,SIG004,75,75,75,0,75,NO,-1.3703666900854323,2.4627654012025944,5,5,PASS
GSE8121,SIG022,75,75,75,0,75,NO,-2.078993177006876,3.369216478614216,5,5,PASS
GSE8121,SIG023,75,75,75,0,75,NO,-18.871942500000003,11.438578504,5,5,PASS
GSE8121,SIG033,75,75,75,0,75,NO,-2.0245773231405,25.32202555672,5,5,PASS
GSE8121,SIG034,75,75,75,0,75,NO,0.6586787099620283,12.86597060186937,5,5,PASS
