dataset,signature_id,time_window,paired_n,mean_delta_z,median_delta_z,q1_delta_z,q3_delta_z,bootstrap_se,ci95_lower,ci95_upper,mean_raw_change,proportion_increasing,paired_correlation,winsorized_mean_delta_z,max_leave_one_out_mean_shift,mixed_model_effect,mixed_model_se,model_status,analysis_role
GSE110487,SIG001,T2,31,-1.2857712075836494,-1.2360387856199937,-1.6686216072367714,-0.9016199385205868,0.1318207546233011,-1.5399986746254652,-1.0206857958593725,-1.3046023428800766,0.064516129032258,0.701468084270997,-1.2833666573262192,0.049797810280145,-1.2857712075836505,0.130693594835723,CONVERGED,PRESPECIFIED_VALIDATION
GSE110487,SIG002,T2,31,-0.6233480169703263,-0.7412541465756051,-1.4073553156766008,-0.099504302571944,0.1694731105868873,-0.9434907490540896,-0.2843748357524859,-1.1988343546222202,0.2258064516129032,0.4687066986097108,-0.6332924974123796,0.0681996223537221,-0.6233480169703272,0.1719818208088078,CONVERGED,PRESPECIFIED_VALIDATION
GSE110487,SIG003,T2,31,-0.7868559868794359,-0.911971570552519,-1.3336466757293166,-0.262448636528346,0.1452342956874025,-1.0664986223299189,-0.5005140983419198,-0.0834789685842525,0.1935483870967742,0.6052295613193228,-0.7811204926592419,0.0535051862786938,-0.7868559868794357,0.1510857629803333,CONVERGED,PRESPECIFIED_VALIDATION
GSE110487,SIG004,T2,31,0.9322148605921704,0.9027835579706202,0.4899860577154629,1.513451714916895,0.1347933195224405,0.6619279008984681,1.1934966584462667,0.1228005745739033,0.9032258064516128,0.6580251872305964,0.9278740443648033,0.05934824279154,0.9322148605921694,0.1368770272156756,CONVERGED,PRESPECIFIED_VALIDATION
GSE110487,SIG022,T2,31,0.5634089336759799,0.554116477492478,0.1044888461943453,0.815252425097597,0.1048219701076879,0.3651929913183422,0.7738654169156528,0.6343765596611605,0.7741935483870968,0.8260153877318612,0.5513443362761961,0.0558371406428912,0.5634089336759799,0.1031748387715672,CONVERGED,PRESPECIFIED_VALIDATION
GSE110487,SIG023,T2,31,-0.2680006867992603,-0.1229153408670837,-0.6164367240358811,0.111913232219555,0.121792176505626,-0.5052751637037893,-0.0383180594786608,-0.6700221754754553,0.3548387096774194,0.7407684735199802,-0.2674794405639277,0.0502629108303412,-0.2680006867992602,0.1246847591655917,CONVERGED,PRESPECIFIED_VALIDATION
GSE110487,SIG033,T2,31,0.1763836941232022,0.3643719813790038,-0.2303120492110948,0.8382840665616882,0.1757331795530729,-0.1955059318690392,0.4941030484508145,0.1965896827313867,0.6129032258064516,0.4649283984928122,0.1939624494253598,0.1069246394081273,0.1763836941232006,0.177708346085646,CONVERGED,PRESPECIFIED_VALIDATION
GSE110487,SIG034,T2,31,-0.2165347398037959,-0.1856754816002786,-0.666543225738459,0.3814805413252333,0.1477930975229296,-0.5178024254696564,0.0627513598540807,-0.0165359321680118,0.4516129032258064,0.7229141765625415,-0.2139084223693796,0.0671772807128268,-0.2165347398037981,0.1512215278132346,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG001,T1,93,-0.3650644826509509,-0.3063170720839029,-0.7787610969505981,0.0003063199719953,0.0673086602813578,-0.4928259456747892,-0.2338801666325133,-0.520177512164267,0.2580645161290322,0.7481266307680383,-0.34604900470953,0.0299701415202968,-0.3650644826509519,0.0697808317127933,CONVERGED,PRESPECIFIED_VALIDATION
GSE236713,SIG001,T4,68,-0.7899000454624185,-0.6770298767722429,-1.1733324796976716,-0.2386197698105008,0.0997476406752125,-1.001176526845004,-0.5987687984209643,-1.1255223666881469,0.1323529411764706,0.5695670927861726,-0.7741910084719477,0.0464271261133861,-0.7899000454624207,0.0989695631110695,CONVERGED,PRESPECIFIED_VALIDATION
