signature_id,time_window,analysis_set,cohort_n,patient_n,pooled_delta_z,pooled_se,ci95_lower,ci95_upper,tau2,I2_percent,prediction_lower,prediction_upper,direction_consistency,p_value,cohorts,holm_adjusted_p
SIG001,T1,ALL_COHORTS,4,172,-0.3782274305625036,0.0156813707846726,-0.4281325510779775,-0.3283223100470297,0.0,0.0,-0.4456989233745526,-0.3107559377504547,1.0,0.0001562006223089,GSE236713;GSE54514;GSE57065;GSE95233,
SIG001,T1,PILOT_ONLY,2,59,-0.4320146029671988,0.0085111135706874,-0.5401585545313795,-0.3238706514030182,0.0,0.0,,,1.0,0.0125404148491025,GSE54514;GSE57065,
SIG001,T1,PRESPECIFIED_VALIDATION_ONLY,2,113,-0.3647881347143641,0.0006828769005422,-0.3734649084224339,-0.3561113610062943,0.0,0.0,,,1.0,0.0011917394997117,GSE236713;GSE95233,
SIG001,T1,PRIMARY_INDEPENDENT,4,172,-0.3782274305625036,0.0156813707846726,-0.4281325510779775,-0.3283223100470297,0.0,0.0,-0.4456989233745526,-0.3107559377504547,1.0,0.0001562006223089,GSE236713;GSE54514;GSE57065;GSE95233,0.0012496049784717
SIG001,T1,STRICT_NEVER_USED,2,113,-0.3647881347143641,0.0006828769005422,-0.3734649084224339,-0.3561113610062943,0.0,0.0,,,1.0,0.0011917394997117,GSE236713;GSE95233,
SIG001,T2,ALL_COHORTS,5,146,-0.8537360889446006,0.1752295664138268,-1.340251360900203,-0.3672208169889984,0.1345129605043458,86.98185577535162,-2.147306998173322,0.4398348202841211,1.0,0.0082072366471844,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,
SIG001,T2,PILOT_ONLY,2,54,-0.7953073372079159,0.0982440807193985,-2.043616740971155,0.4530020665553232,0.0,0.0,,,1.0,0.0782450635578274,GSE54514;GSE57065,
SIG001,T2,PRESPECIFIED_VALIDATION_ONLY,3,92,-0.878258188861025,0.3049239794328736,-2.190240181317689,0.433723803595639,0.2604727167135302,93.36313204820222,-8.432322385108522,6.675806007386472,1.0,0.1023658273080107,GSE110487;GSE8121;GSE95233,
SIG001,T2,PRIMARY_INDEPENDENT,5,146,-0.8537360889446006,0.1752295664138268,-1.340251360900203,-0.3672208169889984,0.1345129605043458,86.98185577535162,-2.147306998173322,0.4398348202841211,1.0,0.0082072366471844,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,0.0410361832359221
SIG001,T2,STRICT_NEVER_USED,3,92,-0.878258188861025,0.3049239794328736,-2.190240181317689,0.433723803595639,0.2604727167135302,93.36313204820222,-8.432322385108522,6.675806007386472,1.0,0.1023658273080107,GSE110487;GSE8121;GSE95233,
SIG001,T3,ALL_COHORTS,1,18,-0.4213661345923834,,,,,,,,1.0,,GSE54514,
SIG001,T3,PILOT_ONLY,1,18,-0.4213661345923834,,,,,,,,1.0,,GSE54514,
SIG001,T3,PRIMARY_INDEPENDENT,1,18,-0.4213661345923834,,,,,,,,1.0,,GSE54514,
SIG001,T4,ALL_COHORTS,2,82,-0.7956649736662691,0.0224108465531826,-1.080421778287772,-0.5109081690447663,0.0,0.0,,,1.0,0.0179264105077136,GSE236713;GSE54514,
SIG001,T4,PILOT_ONLY,1,14,-0.8827859273834088,,,,,,,,1.0,,GSE54514,
SIG001,T4,PRESPECIFIED_VALIDATION_ONLY,1,68,-0.7899000454624185,,,,,,,,1.0,,GSE236713,
SIG001,T4,PRIMARY_INDEPENDENT,2,82,-0.7956649736662691,0.0224108465531826,-1.080421778287772,-0.5109081690447663,0.0,0.0,,,1.0,0.0179264105077136,GSE236713;GSE54514,
SIG001,T4,STRICT_NEVER_USED,1,68,-0.7899000454624185,,,,,,,,1.0,,GSE236713,
