dataset,signature_a,signature_b,time_window,paired_n,mean_absolute_drift_difference_a_minus_b,bootstrap_se,ci95_lower,ci95_upper,primary_independent_eligible,p_value,tau2,I2_percent,holm_adjusted_p
GSE236713,SIG001,SIG002,T1,93,0.15238727253463302,0.061458362499184106,0.03469329852200706,0.276005239274163,YES,,,,
GSE57065,SIG001,SIG002,T1,28,-0.06405736213924043,0.13610893819151965,-0.3235954948050149,0.21430157673563108,YES,,,,
GSE95233,SIG001,SIG002,T1,20,-0.1053404192781815,0.14802700614618086,-0.39268364567275515,0.18274971389217673,YES,,,,
GSE54514,SIG001,SIG002,T1,31,0.25993882374761773,0.12349635194835262,0.011958776688387324,0.5021659999300755,NO,,,,
POOLED_PRIMARY_INDEPENDENT,SIG001,SIG002,T1,141,0.03342812483168019,0.08408844688256414,-0.3283752606834935,0.39523151034685383,YES,0.7293883357317064,0.013112583816168267,50.6367911312482,1.0
GSE236713,SIG001,SIG003,T1,93,-0.11767870513329963,0.0720087307255385,-0.26592706778186703,0.023964347172916196,YES,,,,
GSE57065,SIG001,SIG003,T1,28,-0.13440012566998666,0.09036019086166135,-0.32129387884908533,0.03343598552928364,YES,,,,
GSE95233,SIG001,SIG003,T1,20,-0.03809678143946924,0.10357580998999898,-0.23612968152331312,0.1762113884112871,YES,,,,
GSE54514,SIG001,SIG003,T1,31,0.15886862765133897,0.13579442371854067,-0.09938673652055062,0.42831707188726176,NO,,,,
POOLED_PRIMARY_INDEPENDENT,SIG001,SIG003,T1,141,-0.1045338635514509,0.02603895757935632,-0.21657045545871043,0.007502728355808619,YES,0.056812577176731535,0.0,0.0,0.3408754630603892
GSE236713,SIG001,SIG004,T1,93,-0.02897613418158905,0.07669257324537157,-0.176822912475546,0.12162781199497895,YES,,,,
GSE57065,SIG001,SIG004,T1,28,-0.008395752429780285,0.14168153347442233,-0.27859914668421765,0.28190238671970175,YES,,,,
GSE95233,SIG001,SIG004,T1,20,-0.16746946444241192,0.14038783536421448,-0.448587774362459,0.10165660765424737,YES,,,,
GSE54514,SIG001,SIG004,T1,31,0.07510927298362345,0.12098873436520104,-0.1515619429159432,0.3084013519130323,NO,,,,
POOLED_PRIMARY_INDEPENDENT,SIG001,SIG004,T1,141,-0.05115779875337569,0.03989199047881821,-0.22279918048007538,0.12048358297332398,YES,0.3282572123439276,0.0,0.0,1.0
GSE236713,SIG002,SIG003,T1,93,-0.2700659776679326,0.06740443093786479,-0.4007014698625373,-0.14489097288233924,YES,,,,
GSE57065,SIG002,SIG003,T1,28,-0.07034276353074621,0.16266838711494386,-0.404329084846831,0.23828781618621958,YES,,,,
GSE95233,SIG002,SIG003,T1,20,0.06724363783871226,0.18524714388562855,-0.3081797784009422,0.4329942427314859,YES,,,,
GSE54514,SIG002,SIG003,T1,31,-0.10107019609627867,0.13773196724166265,-0.38177933875628184,0.15874170423407494,NO,,,,
POOLED_PRIMARY_INDEPENDENT,SIG002,SIG003,T1,141,-0.1449331233881687,0.09864627811203296,-0.569373801181272,0.2795075544049347,YES,0.2795349367500665,0.01672105978301594,46.963540139398816,1.0
GSE236713,SIG002,SIG004,T1,93,-0.18136340671622203,0.0642836285456273,-0.30716239606545037,-0.05710526763850773,YES,,,,
GSE57065,SIG002,SIG004,T1,28,0.05566160970946014,0.1411836034555822,-0.2099308793157166,0.346580255545542,YES,,,,
GSE95233,SIG002,SIG004,T1,20,-0.06212904516423047,0.18603722462638628,-0.40230831344801626,0.30531386652749515,YES,,,,
GSE54514,SIG002,SIG004,T1,31,-0.18482955076399424,0.15730330900121783,-0.48589419817370505,0.11714814973001345,NO,,,,
POOLED_PRIMARY_INDEPENDENT,SIG002,SIG004,T1,141,-0.1042001034839882,0.07107671977554328,-0.41001854584407726,0.20161833887610084,YES,0.2802902805125825,0.006959897363665631,19.893950824880488,1.0
GSE236713,SIG003,SIG004,T1,93,0.08870257095171058,0.07405618972241874,-0.0507548712632466,0.23951454253609797,YES,,,,
GSE57065,SIG003,SIG004,T1,28,0.12600437324020636,0.1640296176027331,-0.17410071465344848,0.45436985470839725,YES,,,,
GSE95233,SIG003,SIG004,T1,20,-0.1293726830029427,0.15730353542169961,-0.437106856326864,0.17111719288856084,YES,,,,
GSE54514,SIG003,SIG004,T1,31,-0.08375935466771559,0.128932641363228,-0.32311058873806575,0.1736374836852071,NO,,,,
POOLED_PRIMARY_INDEPENDENT,SIG003,SIG004,T1,141,0.06012923654699755,0.058210264853882095,-0.19032931842289363,0.3105877915168887,YES,0.4101686282095046,0.0,0.0,1.0
