signature_id,time_window,factor,level,cohort_n,patient_n,pooled_delta_z,ci95_lower,ci95_upper,tau2,I2_percent,analysis_status,interaction_p
SIG001,T1,platform_class,MICROARRAY,4,172.0,-0.3785770092566108,-0.4320402122181945,-0.3251138062950271,0.0,0.0,FORMAL_SUBGROUP_META,
SIG001,T1,platform_class,RNASEQ,0,0.0,,,,,,NOT_AVAILABLE,
SIG001,T1,platform,AFFYMETRIX,2,48.0,-0.39791615473921627,-0.9839864412628726,0.18815413178444007,0.0,0.0,FORMAL_SUBGROUP_META,
SIG001,T1,platform,AGILENT,1,93.0,-0.3671599918304727,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG001,T1,platform,ILLUMINA,1,31.0,-0.4195946212790328,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG001,T1,platform,RNASEQ,0,0.0,,,,,,NOT_AVAILABLE,
SIG001,T1,age_group,ADULT,4,172.0,-0.3785770092566108,-0.4320402122181945,-0.3251138062950271,0.0,0.0,FORMAL_SUBGROUP_META,
SIG001,T1,age_group,PEDIATRIC,0,0.0,,,,,,NOT_AVAILABLE,
SIG001,T1,sample_group,WHOLE_BLOOD,3,79.0,-0.40230803108067675,-0.5303941641876978,-0.2742218979736557,0.0,0.0,FORMAL_SUBGROUP_META,
SIG001,T1,sample_group,PBL,1,93.0,-0.3671599918304727,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG001,T1,clinical_group,SEPTIC_SHOCK,2,48.0,-0.39791615473921627,-0.9839864412628726,0.18815413178444007,0.0,0.0,FORMAL_SUBGROUP_META,
SIG001,T1,clinical_group,BROADER_SEPSIS,2,124.0,-0.37181675860964153,-0.5613439172686023,-0.18228959995068073,0.0,0.0,FORMAL_SUBGROUP_META,
SIG001,T1,clinical_group,INTERACTION_SEPTIC_SHOCK_VS_BROADER_SEPSIS,4,,-0.026099396129574737,-0.12111354235809182,0.06891475009894235,,,FORMAL_INTERACTION,0.5903067373857613
SIG001,T1,case_grade,S1,0,0.0,,,,,,NOT_AVAILABLE,
SIG001,T1,case_grade,S2,4,172.0,-0.3785770092566108,-0.4320402122181945,-0.3251138062950271,0.0,0.0,FORMAL_SUBGROUP_META,
SIG001,T2,platform_class,MICROARRAY,4,115.0,-0.723804913191355,-1.278270065389055,-0.1693397609936549,0.09677528885774096,78.40932761734952,FORMAL_SUBGROUP_META,
SIG001,T2,platform_class,RNASEQ,1,31.0,-1.3107917651278518,,,,,DESCRIPTIVE_SINGLE_COHORT,
SIG001,T2,platform,AFFYMETRIX,3,87.0,-0.679407837532177,-1.6623777973623668,0.3035621222980127,0.13157110454514928,83.94331000022885,FORMAL_SUBGROUP_META,
SIG001,T2,platform,AGILENT,0,0.0,,,,,,NOT_AVAILABLE,
SIG001,T2,platform,ILLUMINA,1,28.0,-0.9025502682172181,,,,,DESCRIPTIVE_SINGLE_COHORT,
