dataset,signature_id,time_window,paired_n,mean_delta_z,median_delta_z,q1_delta_z,q3_delta_z,bootstrap_se,ci95_lower,ci95_upper,mean_raw_change,proportion_increasing,paired_correlation,winsorized_mean_delta_z,max_leave_one_out_mean_shift,mixed_model_effect,mixed_model_se,model_status,analysis_role
GSE236713,SIG001,T4,68,-0.8066189040717808,-0.6910298325754847,-1.1799294323286447,-0.21630850682852537,0.10171136706873818,-1.0205309672942253,-0.6117613768622029,-1.0503737419533141,0.14705882352941177,0.5459103938221892,-0.7903467234884242,0.04677498130411395,-0.8066189040717817,0.10102390603157434,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG002,T4,68,-0.1370508057004767,0.04309908347921522,-0.6575953173514819,0.45745742083699353,0.11548096799238752,-0.36882528644226903,0.06959711943340394,-0.27670973914590236,0.5441176470588235,0.5211089547444288,-0.13592106730223416,0.039798930993069886,-0.1370508057004767,0.11703956686835215,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG003,T4,68,-0.60193957286053,-0.6044301207529096,-1.3276460248659512,0.24368520230415014,0.13770647631131983,-0.8900713211342535,-0.3325498740474715,-0.08913188861875555,0.35294117647058826,0.2159910702049861,-0.5960357180086744,0.037546587135336096,-0.6019395728605269,0.13649404634651022,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG004,T4,68,0.3621844920318702,0.45602223360831873,-0.197827923579463,1.0521511546273945,0.11540502671106093,0.135447987961958,0.5837472107938546,0.05211663250619173,0.6470588235294118,0.5413966716457348,0.37277314147625756,0.03717751332089164,0.36218449203187036,0.11535425253358828,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG022,T4,68,0.20545357258436167,0.09191547920489468,-0.2754877569434633,0.6429451519970442,0.0925157926460476,0.020116850041247074,0.37911007243690037,0.3167831086155179,0.5735294117647058,0.6177821770969899,0.2098861706720618,0.03350632973245879,0.2054535725843604,0.09304591158391777,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG023,T4,68,-0.23651353493682126,-0.34118677576823425,-0.7247852267370679,0.16326905788982476,0.10737699879018296,-0.44209317038117213,-0.02094908977553405,-0.6534816750139448,0.3382352941176471,0.37638417427254733,-0.238928792146414,0.04314670659808767,-0.23651353493682067,0.10641998294644758,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG033,T4,68,0.13373057845156536,0.2048845349255851,-0.25714070357387486,0.7914563795483043,0.11154025562314361,-0.09168381271514803,0.3509663852758614,0.19687186624624164,0.6029411764705882,0.5224690224941977,0.1408321023476887,0.04452721519327854,0.13373057845156613,0.11603434169117757,CONVERGED,PRESPECIFIED_NON_PILOT
GSE236713,SIG034,T4,68,-0.11696781161712658,-0.05822827862973333,-0.8715087656765501,0.4891482925904956,0.11014489289979337,-0.3268576867694498,0.10021447785597515,-0.011296914808695751,0.47058823529411764,0.5998269313942162,-0.11724122804062759,0.033704737273693774,-0.11696781161712805,0.11187386590192264,CONVERGED,PRESPECIFIED_NON_PILOT
GSE54514,SIG001,T3,18,-0.41197170539814754,-0.4733074132897318,-1.8299031708325555,0.7372953675551794,0.3468659710355718,-1.099325241725483,0.27999109182587967,-0.31326266122256397,0.3888888888888889,-0.10129203912074798,-0.4409732572467977,0.20165977831892745,-0.41197170539814637,0.345487697942652,CONVERGED,PILOT
GSE54514,SIG001,T4,14,-0.8863736691778277,-1.213460578361818,-1.6109731997744214,-0.3977850952388989,0.3840393091268967,-1.5974835446855842,-0.08573872657253351,-0.6739971964237316,0.14285714285714285,-0.5506743019282371,-0.9008081508819326,0.26213146645511753,-0.8863736691778291,0.32751971524358814,CONVERGED,PILOT
GSE54514,SIG002,T3,18,0.20417556034949935,-0.016842607804778642,-0.6980526228971102,1.0472609917162181,0.2798837148786021,-0.321832399649582,0.7755965220163832,0.25970278905555433,0.5,0.1505418985951695,0.18427646473098167,0.17477636230281124,0.20417556034949752,0.29043259212699724,CONVERGED,PILOT
