signature_id,time_window,primary_stability_class,evidence_grade,primary_cohort_n,primary_patient_n,pooled_delta_z,ci95_lower,ci95_upper,prediction_lower,prediction_upper,I2_percent,sensitivity_class_agreement_n,sensitivity_class_evaluable_n,material_sign_reversal,evidence_note
SIG001,T1,CONSISTENT_DRIFT,COHORT_DEPENDENT,4,172,-0.3785770092566108,-0.4320402122181945,-0.3251138062950271,-0.45085901312860066,-0.30629500538462096,0.0,1,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG001,T2,HIGHLY_HETEROGENEOUS,COHORT_DEPENDENT,5,146,-0.8550776766665187,-1.3507663794189413,-0.3593889739140961,-2.1757325775205043,0.4655772241874667,87.39226194985913,3,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG002,T1,RELATIVE_STABILITY,MODERATE_CONSISTENCY,3,141,-0.07087568570629159,-0.18124774980080943,0.03949637838822624,-0.3968164789030944,0.2550651074905112,0.0,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG002,T2,CONSISTENT_DRIFT,MODERATE_CONSISTENCY,4,118,-0.6885895701194436,-0.9056198950760734,-0.47155924516281367,-0.9820135686802219,-0.39516557155866516,0.0,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG003,T1,RELATIVE_STABILITY,MODERATE_CONSISTENCY,3,141,-0.17308860011740615,-0.268709338680083,-0.0774678615547293,-0.4554671134565532,0.10928991322174095,0.0,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG003,T2,CONSISTENT_DRIFT,COHORT_DEPENDENT,4,118,-0.8986462115572165,-1.2237089928778342,-0.5735834302365987,-1.3536923718150016,-0.4436000512994315,0.0,1,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG004,T1,HIGHLY_HETEROGENEOUS,COHORT_DEPENDENT,3,141,0.026963430801954576,-0.37755597305518745,0.4314828346590966,-1.65567713444897,1.7096039960528793,23.650880253571568,1,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG004,T2,CONSISTENT_DRIFT,MODERATE_CONSISTENCY,4,118,0.6972451968898257,0.33211783001508327,1.062372563764568,-0.14990107439604217,1.5443914681756934,31.161914648730605,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG022,T1,COHORT_DEPENDENT_DRIFT,COHORT_DEPENDENT,4,172,-0.05683979883162078,-0.31535049508661994,0.2016708974233784,-0.612616109897399,0.4989365122341574,49.54582755141195,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG022,T2,HIGHLY_HETEROGENEOUS,COHORT_DEPENDENT,5,146,0.13902105677245458,-0.1907176237751375,0.46875973732004667,-0.7200438635112723,0.9980859770561814,82.2218807936682,3,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG023,T1,HIGHLY_HETEROGENEOUS,COHORT_DEPENDENT,4,172,0.046809026563166246,-0.5234492342888285,0.6170672874151609,-1.5325710495848452,1.6261891027111777,85.57300724556744,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG023,T2,RELATIVE_STABILITY,MODERATE_CONSISTENCY,5,146,-0.052610527090989775,-0.273910702598893,0.16868964841691347,-0.5196200460702431,0.41439899188826357,44.117593692496605,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG033,T1,RELATIVE_STABILITY,COHORT_DEPENDENT,4,172,-0.1622184933545452,-0.35770947772563233,0.03327249101654192,-0.4265214027669044,0.10208441605781404,2.6827668560794025,1,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG033,T2,RELATIVE_STABILITY,COHORT_DEPENDENT,5,146,-0.11974549888129696,-0.36451518902581515,0.12502419126322126,-0.46782627240820385,0.2283352746456099,18.539019733832227,1,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG034,T1,RELATIVE_STABILITY,MODERATE_CONSISTENCY,4,172,0.0301771452166587,-0.12754572271830095,0.18790001315161836,-0.18306344493219595,0.24341773536551337,0.0,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
SIG034,T2,RELATIVE_STABILITY,MODERATE_CONSISTENCY,5,146,-0.07015611812957094,-0.2826444647980563,0.14233222853891442,-0.4506087046200664,0.3102964683609245,18.915976820016656,2,3,NO,Grade follows frozen multi-criterion rule; no single P-value gate.
