check_type,dataset,item,expected,observed,absolute_difference,status
PAIRING,GSE95233,NS_201,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE95233,SV_027,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE95233,SV_175,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE8121,06_0004,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE110487,G44,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE236713,216,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE110487,G35,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE236713,210,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE8121,11_0001,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE54514,NS_22,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE95233,SV_044,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE54514,S_38,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE110487,G41,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE236713,219,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE54514,S_34,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE57065,P018,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE95233,NS_067,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE8121,01_0025,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE95233,NS_102,frozen T0/follow-up IDs,matched,0.0,PASS
PAIRING,GSE110487,G23,frozen T0/follow-up IDs,matched,0.0,PASS
SCORE_MANUAL,GSE236713,SIG001:GSM7573983,-0.7159308780828404,-0.7159308780828351,5.329070518200751e-15,PASS
SCORE_MANUAL,GSE95233,SIG001:GSM2500420,2.6514934347899795,2.651493434789983,3.552713678800501e-15,PASS
SCORE_MANUAL,GSE57065,SIG001:GSM1373963,2.4646541046105837,2.464654104610581,2.6645352591003757e-15,PASS
SCORE_MANUAL,GSE236713,SIG001:GSM7574079,0.17755030844720388,0.17755030844720388,0.0,PASS
SCORE_MANUAL,GSE57065,SIG001:GSM1373969,1.2400258896267546,1.2400258896267546,0.0,PASS
SCORE_MANUAL,GSE54514,SIG002:GSM1317901,9.544440745000003,9.544440745000003,0.0,PASS
SCORE_MANUAL,GSE110487,SIG002:GSM2992321,6.02725802928809,6.02725802928809,0.0,PASS
SCORE_MANUAL,GSE236713,SIG002:GSM7574196,9.178454610000644,9.178454610000644,0.0,PASS
SCORE_MANUAL,GSE54514,SIG002:GSM1318034,6.819043632000001,6.819043632000001,0.0,PASS
SCORE_MANUAL,GSE236713,SIG002:GSM7574315,7.6932440783026514,7.6932440783026514,0.0,PASS
SCORE_MANUAL,GSE95233,SIG003:GSM2500416,0.8417505237041988,0.8417505237041988,0.0,PASS
SCORE_MANUAL,GSE236713,SIG003:GSM7574236,1.015001794455939,1.015001794455939,0.0,PASS
SCORE_MANUAL,GSE57065,SIG003:GSM1373915,0.48786167560625515,0.48786167560625515,0.0,PASS
SCORE_MANUAL,GSE54514,SIG003:GSM1317999,0.6651754674196406,0.6651754674196406,0.0,PASS
SCORE_MANUAL,GSE236713,SIG003:GSM7574009,0.7823358821562478,0.7823358821562478,0.0,PASS
SCORE_MANUAL,GSE236713,SIG004:GSM7574224,-0.11979336016224394,-0.11979336016224394,0.0,PASS
SCORE_MANUAL,GSE236713,SIG004:GSM7574383,0.004739009573933043,0.004739009573933043,0.0,PASS
SCORE_MANUAL,GSE236713,SIG004:GSM7574049,0.23778729188789513,0.23778729188789513,0.0,PASS
SCORE_MANUAL,GSE236713,SIG004:GSM7574052,-0.02529800464733507,-0.02529800464733507,0.0,PASS
SCORE_MANUAL,GSE57065,SIG004:GSM1373923,-0.1772249402479909,-0.1772249402479909,0.0,PASS
SCORE_MANUAL,GSE57065,SIG022:GSM1373924,-3.6405991195855103,-3.6405991195855103,0.0,PASS
SCORE_MANUAL,GSE8121,SIG022:GSM201267,-0.7813184985029302,-0.7813184985029302,0.0,PASS
SCORE_MANUAL,GSE57065,SIG022:GSM1374003,-2.954217029798988,-2.954217029798988,0.0,PASS
SCORE_MANUAL,GSE236713,SIG022:GSM7574403,-3.7727305061469076,-3.7727305061469085,8.881784197001252e-16,PASS
