dataset,signature_id,baseline_n,baseline_sd,baseline_mad_scale,status
GSE236713,SIG001,124,1.302193311675524,1.5095456172416093,PASS
GSE236713,SIG002,124,2.0190303714860964,1.7268417880155944,PASS
GSE236713,SIG003,124,0.14807447896336845,0.1202472527422045,PASS
GSE236713,SIG004,124,0.1438952623670197,0.14447616331530874,PASS
GSE236713,SIG022,124,1.5418719890375379,1.6642851200504059,PASS
GSE236713,SIG023,124,2.7629779208555916,2.16689574366098,PASS
GSE236713,SIG033,124,1.4721529550367187,1.4078771324217092,PASS
GSE236713,SIG034,124,0.0965813983566197,0.0956005946736333,PASS
GSE57065,SIG001,28,0.672569246585108,0.8448957587750104,PASS
GSE57065,SIG002,28,1.1990403199621247,1.3095361020000011,PASS
GSE57065,SIG003,28,0.08105978090134602,0.11359325616829388,PASS
GSE57065,SIG004,28,0.06147246460411287,0.06513174190233374,PASS
GSE57065,SIG022,28,0.7334821438482804,0.5001953258395744,PASS
GSE57065,SIG023,28,2.6494023370347484,1.8315373229999998,PASS
GSE57065,SIG033,28,1.0621461662962717,1.1059580691348017,PASS
GSE57065,SIG034,28,0.08368516867377133,0.08141683048007403,PASS
GSE95233,SIG001,51,0.6033068795523577,0.5237454077737834,PASS
GSE95233,SIG002,51,0.9885684289084006,0.9939126119684942,PASS
GSE95233,SIG003,51,0.07448332647149886,0.06936186563143149,PASS
GSE95233,SIG004,51,0.05219615521167924,0.06518638774163106,PASS
GSE95233,SIG022,51,0.5244373986999893,0.4655560573085944,PASS
GSE95233,SIG023,51,2.321664568328311,2.7141641516640003,PASS
GSE95233,SIG033,51,0.7007945331247445,0.8262704055196696,PASS
GSE95233,SIG034,51,0.08521255898410364,0.07005703288774033,PASS
GSE54514,SIG001,35,0.7603984863955967,0.9955925866689372,PASS
GSE54514,SIG002,35,1.271958253039716,1.5410358072311976,PASS
GSE54514,SIG003,35,0.135692216842016,0.17024300714933874,PASS
GSE54514,SIG004,35,0.0560120321610029,0.07366200098896339,PASS
GSE54514,SIG022,35,1.0150578397970564,1.290986720368011,PASS
GSE54514,SIG023,35,1.4991162676756062,1.3784031144050997,PASS
GSE54514,SIG033,35,0.8028467088987773,0.9440170566768836,PASS
GSE54514,SIG034,35,0.06372289864690696,0.05531157415145698,PASS
GSE110487,SIG001,31,0.921437830786716,0.9493850804533893,PASS
GSE110487,SIG002,31,1.9232183659602298,2.120332454212702,PASS
GSE110487,SIG003,31,0.10609180075672905,0.12226325536083348,PASS
GSE110487,SIG004,31,0.13172990451567873,0.11397226880461273,PASS
GSE110487,SIG022,31,1.125961130083881,0.7547987562299607,PASS
GSE110487,SIG023,31,2.500076337406253,2.633174757957984,PASS
GSE110487,SIG033,31,1.1145570099811541,1.0537140210520504,PASS
GSE110487,SIG034,31,0.07636618578152968,0.07465893231397397,PASS
GSE8121,SIG001,30,1.4335128158762989,1.2249915751854488,PASS
GSE8121,SIG002,30,1.349351867338112,1.2067332999959992,PASS
GSE8121,SIG003,30,0.19578438309018592,0.14336222344866745,PASS
GSE8121,SIG004,30,0.44240745934516523,0.3307183291851414,PASS
GSE8121,SIG022,30,1.3766889995198703,1.310408992751119,PASS
GSE8121,SIG023,30,5.249569246187739,1.7954810395619996,PASS
GSE8121,SIG033,30,4.88176969470399,0.8174476574739971,PASS
GSE8121,SIG034,30,2.386632351406753,1.5724169067946856,PASS
